epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.1734006734006734,0.1718855218855219,0.2356902356902357,0.1892255892255892,0.20353535353535354,0.10875420875420876,0.07185919180538895
9,0.1826599326599326,0.1651515151515151,0.2392255892255892,0.1986531986531986,0.2148148148148148,0.1085858585858585,0.0716733067870457
8,0.172053872053872,0.1718855218855219,0.2395622895622895,0.1781144781144781,0.205050505050505,0.1082491582491582,0.0717105082770541
7,0.1624579124579124,0.1693602693602693,0.2361952861952862,0.1548821548821548,0.2053872053872054,0.1082491582491582,0.070059207335882
6,0.174074074074074,0.172053872053872,0.2321548821548821,0.1722222222222222,0.202020202020202,0.1092592592592592,0.0684755222994311
5,0.1801346801346801,0.17003367003367,0.231986531986532,0.1836700336700336,0.205050505050505,0.1101010101010101,0.067297619365513
4,0.1858585858585858,0.1723905723905724,0.2336700336700336,0.1875420875420875,0.2045454545454545,0.1456228956228956,0.0658721470176432
3,0.1771043771043771,0.1626262626262626,0.2525252525252525,0.1754208754208754,0.2227272727272727,0.1616161616161616,0.063929018493391
2,0.1915824915824915,0.1861952861952862,0.2929292929292929,0.1648148148148148,0.2348484848484848,0.1691919191919192,0.0637409466965583
1,0.2132996632996633,0.1875420875420875,0.3195286195286195,0.171043771043771,0.2356902356902357,0.1904040404040404,0.063705251957447
0,0.2269360269360269,0.1599326599326599,0.2991582491582492,0.1006734006734006,0.2252525252525252,0.2744107744107744,0.0637166637126654
