epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,probe secs
57,0.48855218855218857,0.4983164983164983,0.5427609427609428,0.5491582491582492,0.5814814814814815,0.5959595959595959,0.48148148148148145,0.48282828282828283,0.02018217005656096,0.2077056437333425,0.20865483669439952,18.85
53,0.4959595959595959,0.5016835016835017,0.5447811447811448,0.5481481481481482,0.5757575757575758,0.5969696969696969,0.4804713804713805,0.4804713804713805,0.020974885202534,0.2119998659690221,0.2077539620399475,19.59
49,0.5,0.5057239057239057,0.5471380471380471,0.5521885521885522,0.5791245791245792,0.593939393939394,0.4764309764309764,0.4855218855218855,0.0214146466505569,0.216486809293429,0.2056047008832295,16.59
45,0.4925925925925926,0.5037037037037037,0.5468013468013468,0.5531986531986532,0.57003367003367,0.5912457912457912,0.4845117845117845,0.4878787878787878,0.0229966499334859,0.2203887213071187,0.2031272570292155,21.02
41,0.5050505050505051,0.5117845117845118,0.5373737373737374,0.5441077441077441,0.5737373737373738,0.5878787878787879,0.4794612794612795,0.4814814814814814,0.0221856076032135,0.2253476574023564,0.2009117618004481,16.32
37,0.4936026936026936,0.5168350168350169,0.54006734006734,0.5424242424242425,0.5814814814814815,0.5804713804713805,0.4811447811447811,0.4855218855218855,0.0232659716417162,0.2313125723600387,0.1975694999694824,17.98
33,0.5013468013468013,0.5127946127946128,0.5434343434343434,0.5407407407407407,0.5723905723905723,0.5818181818181818,0.4787878787878787,0.4811447811447811,0.0248507765480722,0.2382428638537724,0.193680358727773,22.44
29,0.5087542087542087,0.5161616161616162,0.539057239057239,0.5420875420875421,0.5794612794612795,0.5865319865319866,0.4791245791245791,0.4858585858585859,0.0243700284239559,0.2460911297003428,0.1893175039688746,19.22
25,0.5,0.5104377104377105,0.5461279461279461,0.5468013468013468,0.5696969696969697,0.573063973063973,0.4734006734006734,0.4767676767676768,0.0276839833600747,0.2557323029438654,0.1837541484038035,14.72
21,0.503030303030303,0.5023569023569023,0.5393939393939394,0.5326599326599326,0.5774410774410774,0.5757575757575758,0.4686868686868687,0.468013468013468,0.0299725163708148,0.2684303104082743,0.1744849359194437,19.35
17,0.4962962962962963,0.503030303030303,0.5363636363636364,0.5387205387205387,0.560942760942761,0.5804713804713805,0.4609427609427609,0.4626262626262626,0.034466458620176,0.2832109460830688,0.1620287663141886,17.7
13,0.5016835016835017,0.4983164983164983,0.5333333333333333,0.5316498316498316,0.5606060606060606,0.5632996632996633,0.4505050505050505,0.4501683501683501,0.0386128013004047,0.3046366871992747,0.1417997003396352,16.72
9,0.4794612794612795,0.4707070707070707,0.5232323232323233,0.5158249158249159,0.5484848484848485,0.5393939393939394,0.432996632996633,0.4343434343434343,0.0601162529198145,0.3384189987977345,0.0828654651443163,15.42
5,0.4393939393939394,0.4269360269360269,0.4993265993265993,0.4983164983164983,0.5239057239057239,0.5218855218855218,0.3720538720538721,0.3818181818181818,0.0709318981620071,0.3783791028658549,0.0469142917493979,15.58
1,0.2353535353535353,0.2562289562289562,0.3117845117845118,0.3161616161616161,0.3259259259259259,0.3175084175084175,0.1346801346801346,0.1252525252525252,0.0717853985091615,0.4672815726598104,0.0020941178485639,22.18
0,0.2595959595959596,0.271043771043771,0.3892255892255892,0.3919191919191919,0.4148148148148148,0.428956228956229,0.2791245791245791,0.2774410774410774,0.06391832872987,,,20.75
