epoch,KNN,MLP,NB,val MSE
29,0.23417508417508417,0.3255892255892256,0.28434343434343434,0.06256713776404227
27,0.2398989898989899,0.3363636363636363,0.2937710437710438,0.0625104533167651
25,0.2393939393939393,0.3410774410774411,0.295959595959596,0.062772937674823
23,0.2424242424242424,0.3577441077441077,0.3013468013468013,0.0625545236730342
21,0.2533670033670033,0.3725589225589225,0.3132996632996633,0.0625335349309296
19,0.2601010101010101,0.3771043771043771,0.3176767676767676,0.062485144819343
17,0.2675084175084175,0.3799663299663299,0.3235690235690235,0.0623813436149915
15,0.2769360269360269,0.3898989898989899,0.3244107744107744,0.0623777677664007
13,0.2797979797979798,0.3919191919191919,0.3304713804713804,0.0624253520308654
11,0.2747474747474747,0.4072390572390572,0.3318181818181818,0.0623530667096535
9,0.2863636363636364,0.4016835016835017,0.3358585858585858,0.0623236463188489
7,0.2887205387205387,0.4016835016835017,0.3417508417508417,0.0623166799333548
5,0.2678451178451178,0.3878787878787879,0.3166666666666666,0.0630105344866457
3,0.235016835016835,0.251010101010101,0.2452861952861952,0.0636256318373959
1,0.2496632996632996,0.1861952861952862,0.2138047138047138,0.0636920347796557
0,0.265993265993266,0.1673400673400673,0.2835016835016835,0.0636649293226204
