mode,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,n_bn_layers,probed
plain,0.2760942760942761,0.26161616161616164,0.3942760942760943,0.3865319865319865,0.428956228956229,0.43434343434343436,0.2878787878787879,0.2942760942760943,6,2026-09-11 16:56:54
adabn,0.26835016835016834,0.26801346801346804,0.3925925925925926,0.38417508417508417,0.3898989898989899,0.40875420875420876,0.30808080808080807,0.31212121212121213,6,2026-09-11 16:56:54
