epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.318013468013468,0.26784511784511783,0.41094276094276094,0.381986531986532,0.3175084175084175,0.21212121212121213,0.10022753148900468
9,0.3171717171717171,0.2664983164983165,0.4136363636363636,0.387037037037037,0.302020202020202,0.2119528619528619,0.0960622946756559
8,0.3196969696969697,0.2747474747474747,0.4099326599326599,0.4006734006734007,0.3138047138047138,0.2129629629629629,0.0914817671184006
7,0.3185185185185185,0.2543771043771043,0.413973063973064,0.3898989898989899,0.3138047138047138,0.2033670033670033,0.0884649936063463
6,0.3218855218855219,0.271043771043771,0.4092592592592592,0.3789562289562289,0.3074074074074074,0.2101010101010101,0.0834737459518557
5,0.3132996632996633,0.2644781144781145,0.403030303030303,0.3845117845117845,0.3023569023569024,0.2057239057239057,0.075570268698738
4,0.3134680134680134,0.2584175084175084,0.4038720538720539,0.3742424242424242,0.2979797979797979,0.1966329966329966,0.071065523259699
3,0.3117845117845118,0.2572390572390572,0.4065656565656566,0.3769360269360269,0.3119528619528619,0.2062289562289562,0.0677857046705368
2,0.3095959595959596,0.25,0.4008417508417508,0.389057239057239,0.2993265993265993,0.2001683501683501,0.0591789310530066
1,0.3074074074074074,0.2601010101010101,0.4067340067340067,0.382996632996633,0.2910774410774411,0.2111111111111111,0.0499563557931203
0,0.2587542087542087,0.1994949494949495,0.3750841750841751,0.2831649831649832,0.2845117845117845,0.3363636363636363,0.0639725297120388
