epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.24865319865319865,0.2255892255892256,0.32946127946127945,0.301010101010101,0.2553872053872054,0.24713804713804713,0.04321988171122002
9,0.2491582491582491,0.2227272727272727,0.331986531986532,0.3015151515151515,0.2552188552188552,0.2469696969696969,0.0435159149419245
8,0.2486531986531986,0.225084175084175,0.3336700336700336,0.2988215488215488,0.2545454545454545,0.2488215488215488,0.0421874615931172
7,0.2484848484848484,0.222053872053872,0.3368686868686869,0.2957912457912457,0.2493265993265993,0.2491582491582491,0.0418794343171915
6,0.2516835016835017,0.2116161616161616,0.334006734006734,0.2973063973063973,0.2496632996632996,0.2531986531986532,0.0424974521698155
5,0.2496632996632996,0.217003367003367,0.3345117845117845,0.3037037037037037,0.2595959595959596,0.2569023569023569,0.0422513177337167
4,0.219023569023569,0.2069023569023569,0.307070707070707,0.2750841750841751,0.2361952861952862,0.2292929292929293,0.0422894662414837
3,0.1902356902356902,0.1846801346801346,0.2742424242424242,0.2526936026936027,0.2287878787878788,0.2084175084175084,0.0420416599936902
2,0.1924242424242424,0.1813131313131313,0.2757575757575757,0.2505050505050505,0.231986531986532,0.2063973063973063,0.0421770920060561
1,0.2025252525252525,0.1808080808080808,0.2648148148148148,0.256060606060606,0.2244107744107744,0.2035353535353535,0.0425919682832954
0,0.1772727272727272,0.1415824915824916,0.2528619528619528,0.1006734006734006,0.2006734006734006,0.2072390572390572,0.063595218904859
