epoch,KNN,MLP,NB,val MSE
29,0.14292929292929293,0.10067340067340068,0.10404040404040404,0.08818228729400075
27,0.1405723905723905,0.1067340067340067,0.1043771043771043,0.0892532009029261
25,0.143097643097643,0.1006734006734006,0.1042087542087542,0.0873127217482292
23,0.1451178451178451,0.1006734006734006,0.1042087542087542,0.0902227396757522
21,0.1473063973063973,0.1006734006734006,0.1042087542087542,0.0908784536813546
19,0.1484848484848485,0.1006734006734006,0.1045454545454545,0.0892246525807448
17,0.1447811447811448,0.1006734006734006,0.1052188552188552,0.0911394863076786
15,0.1525252525252525,0.1067340067340067,0.1047138047138047,0.0902523542382153
13,0.1441077441077441,0.1069023569023569,0.1033670033670033,0.0889659438606477
11,0.1617845117845117,0.1006734006734006,0.1042087542087542,0.0860435874672808
9,0.1602693602693602,0.1006734006734006,0.1045454545454545,0.0858284404127466
7,0.1634680134680134,0.1006734006734006,0.1047138047138047,0.0800145052730719
5,0.1516835016835016,0.1508417508417508,0.1166666666666666,0.0717798297030464
3,0.2185185185185185,0.2063973063973063,0.1917508417508417,0.0641505940094405
1,0.2367003367003367,0.1619528619528619,0.215993265993266,0.0638443882416662
0,0.2365319865319865,0.1006734006734006,0.2915824915824916,0.0637842233410207
