epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.3213804713804714,0.26784511784511783,0.4367003367003367,0.44595959595959594,0.32222222222222224,0.3,0.02748704351961189
9,0.3239057239057239,0.271043771043771,0.4313131313131313,0.4382154882154882,0.3271043771043771,0.3075757575757575,0.0270878416924451
8,0.3217171717171717,0.272053872053872,0.4276094276094276,0.4323232323232323,0.3232323232323232,0.3035353535353535,0.0261218693160301
7,0.3202020202020202,0.2607744107744107,0.4311447811447811,0.4429292929292929,0.3227272727272727,0.3011784511784511,0.0262189309210326
6,0.321043771043771,0.2631313131313131,0.4326599326599326,0.4348484848484849,0.3242424242424242,0.303030303030303,0.0263076298679911
5,0.3254208754208754,0.2676767676767677,0.4335016835016835,0.4335016835016835,0.3234006734006734,0.3018518518518518,0.025266089994414
4,0.3257575757575757,0.2752525252525252,0.4306397306397306,0.4271043771043771,0.3090909090909091,0.3045454545454545,0.0254352276096017
3,0.3239057239057239,0.2737373737373737,0.4265993265993266,0.4193602693602694,0.2994949494949495,0.3028619528619529,0.025343797651002
2,0.3117845117845118,0.267003367003367,0.4138047138047138,0.4069023569023569,0.3082491582491583,0.2902356902356902,0.0254951478453554
1,0.3001683501683502,0.2516835016835017,0.4043771043771044,0.4121212121212121,0.2947811447811447,0.2863636363636364,0.0272719601457061
0,0.2774410774410774,0.2191919191919192,0.3851851851851852,0.2907407407407407,0.2942760942760943,0.3008417508417508,0.0641402850394033
