epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.2308080808080808,0.17777777777777778,0.3202020202020202,0.31531986531986533,0.24175084175084174,0.3114478114478115,0.01591541533412984
9,0.2365319865319865,0.1744107744107744,0.3259259259259259,0.3242424242424242,0.2368686868686868,0.3107744107744107,0.0159274849686672
8,0.2365319865319865,0.1835016835016835,0.3223905723905724,0.3292929292929293,0.2446127946127946,0.3129629629629629,0.0161170300714949
7,0.2397306397306397,0.1698653198653198,0.3215488215488215,0.3375420875420875,0.2454545454545454,0.3163299663299663,0.0166641068305707
6,0.2498316498316498,0.1759259259259259,0.3267676767676767,0.3415824915824916,0.2508417508417508,0.3143097643097643,0.0172681231167478
5,0.2471380471380471,0.1917508417508417,0.3368686868686869,0.3498316498316498,0.2594276094276094,0.317003367003367,0.0174734948623138
4,0.2523569023569023,0.1804713804713804,0.3311447811447811,0.3553872053872053,0.2531986531986532,0.3072390572390572,0.0185607289713451
3,0.2624579124579124,0.186026936026936,0.3444444444444444,0.3624579124579125,0.2498316498316498,0.3026936026936027,0.0192344424878883
2,0.2715488215488215,0.1925925925925926,0.3436026936026936,0.3713804713804713,0.2538720538720538,0.3072390572390572,0.0211510379396736
1,0.2769360269360269,0.2021885521885522,0.3604377104377104,0.3816498316498316,0.2673400673400673,0.2924242424242424,0.0264086833796058
0,0.254040404040404,0.1898989898989899,0.336026936026936,0.1006734006734006,0.255050505050505,0.2555555555555555,0.0634370486170953
