epoch,KNN,MLP,NB,val MSE
29,0.16043771043771043,0.3393939393939394,0.2835016835016835,0.010555150787152521
27,0.1575757575757575,0.3377104377104377,0.2824915824915825,0.0113594551681545
25,0.1619528619528619,0.3447811447811448,0.2836700336700337,0.0124121194748376
23,0.1611111111111111,0.3481481481481481,0.2838383838383838,0.0131921944345742
21,0.1599326599326599,0.3484848484848485,0.2845117845117845,0.0125815790679246
19,0.1607744107744107,0.3547138047138047,0.2878787878787879,0.0152964151396579
17,0.1597643097643097,0.3553872053872053,0.2902356902356902,0.0144514733690563
15,0.1595959595959596,0.3542087542087542,0.2932659932659933,0.0130512957456215
13,0.1622895622895623,0.3560606060606061,0.2922558922558922,0.0149963428555833
11,0.1604377104377104,0.3577441077441077,0.2949494949494949,0.0163799732192345
9,0.1631313131313131,0.3626262626262626,0.3003367003367003,0.0159079229383072
7,0.1614478114478114,0.3723905723905724,0.2986531986531986,0.0204253462945536
5,0.1627946127946128,0.3749158249158249,0.3008417508417508,0.0361055439969997
3,0.1624579124579124,0.3762626262626262,0.3074074074074074,0.0434737734456892
1,0.1984848484848485,0.3984848484848485,0.3075757575757575,0.0466257227621112
0,0.2781144781144781,0.1006734006734006,0.2914141414141414,0.0647457396515626
