epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,probe secs
29,0.4117845117845118,0.44074074074074077,0.4383838383838384,0.4444444444444444,0.45454545454545453,0.46060606060606063,0.2117845117845118,0.22121212121212122,0.029068135396704792,0.23954131259520847,0.23014423952500027,16.91
27,0.4141414141414141,0.4094276094276094,0.4326599326599326,0.4303030303030303,0.4484848484848485,0.4491582491582491,0.2464646464646464,0.2579124579124579,0.0278928437622571,0.2409094989697138,0.2286717192133267,25.58
25,0.4033670033670034,0.4111111111111111,0.4430976430976431,0.4292929292929293,0.4521885521885522,0.4454545454545454,0.2383838383838384,0.2531986531986532,0.0283499302319375,0.2429376591642697,0.2282724103927612,21.92
23,0.4228956228956229,0.4202020202020202,0.4114478114478114,0.4404040404040404,0.4252525252525252,0.4471380471380471,0.238047138047138,0.2461279461279461,0.0288807164983522,0.2445283050735791,0.2272459031740824,25.8
21,0.396969696969697,0.4104377104377104,0.4104377104377104,0.4299663299663299,0.4255892255892256,0.4367003367003367,0.2734006734006734,0.2821548821548821,0.0306757545168139,0.2464545945127805,0.2281742013891537,23.16
19,0.3996632996632996,0.398989898989899,0.4181818181818181,0.4121212121212121,0.4380471380471381,0.4404040404040404,0.2696969696969697,0.2781144781144781,0.0307589781141408,0.248639164785544,0.226308110833168,25.99
17,0.3949494949494949,0.3824915824915825,0.406060606060606,0.4111111111111111,0.4265993265993266,0.4336700336700336,0.2552188552188552,0.2508417508417508,0.0304411110099319,0.250559652964274,0.2248333650430043,23.1
15,0.3996632996632996,0.3771043771043771,0.3912457912457912,0.4087542087542087,0.4175084175084175,0.4168350168350168,0.1993265993265993,0.2033670033670033,0.0313055827042508,0.2528596795797348,0.224465660115083,16.2
13,0.3851851851851852,0.3616161616161616,0.4087542087542087,0.4138047138047138,0.4114478114478114,0.4178451178451178,0.2818181818181818,0.2656565656565656,0.0326272580196971,0.2554820069670677,0.2230446450710296,15.87
11,0.3683501683501683,0.3639730639730639,0.4121212121212121,0.397979797979798,0.4168350168350168,0.4185185185185185,0.2289562289562289,0.2373737373737373,0.0359273575954337,0.2581568159063657,0.2227682937184969,17.91
9,0.374074074074074,0.37003367003367,0.3993265993265993,0.4208754208754209,0.4259259259259259,0.4225589225589226,0.2757575757575757,0.2754208754208754,0.0365894107779961,0.2603763587276141,0.2217036638259887,12.22
7,0.3720538720538721,0.3552188552188552,0.4023569023569023,0.4084175084175084,0.4121212121212121,0.4043771043771044,0.296969696969697,0.3168350168350168,0.0382476121577604,0.2640179620981216,0.2209150645931561,15.59
5,0.336026936026936,0.3121212121212121,0.3787878787878788,0.3828282828282828,0.3811447811447811,0.3727272727272727,0.2717171717171717,0.2717171717171717,0.0398210632758708,0.2686147141456604,0.2196476109822591,17.22
3,0.332996632996633,0.334006734006734,0.3747474747474748,0.3754208754208754,0.3878787878787879,0.3717171717171717,0.2555555555555555,0.2626262626262626,0.0479161548850062,0.2776327283382416,0.2129014227787653,25.81
1,0.2619528619528619,0.2589225589225589,0.3306397306397306,0.3313131313131313,0.3471380471380471,0.3478114478114478,0.2077441077441077,0.2097643097643097,0.0741797968692296,0.3146203728119532,0.0898830172481636,19.02
0,0.303030303030303,0.2915824915824916,0.4026936026936027,0.4033670033670034,0.4363636363636363,0.4336700336700336,0.2848484848484848,0.2760942760942761,0.0636308146227104,,,19.9
