epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,probe secs
29,0.30774410774410776,0.2919191919191919,0.32592592592592595,0.335016835016835,0.36127946127946126,0.3606060606060606,0.25757575757575757,0.25757575757575757,0.0305715183633153,0.4856658802032471,0.23303431316216786,15.25
27,0.2673400673400673,0.265993265993266,0.3074074074074074,0.3178451178451178,0.3336700336700336,0.3447811447811448,0.2518518518518518,0.2555555555555555,0.0334382906000313,0.5055682678222656,0.2318413776357968,13.05
25,0.2757575757575757,0.2868686868686869,0.3094276094276094,0.3195286195286195,0.3488215488215488,0.3427609427609427,0.2521885521885522,0.241077441077441,0.0315786310625436,0.528783727089564,0.2279405574003855,14.94
23,0.2841750841750842,0.2784511784511784,0.3158249158249158,0.3225589225589225,0.3377104377104377,0.3367003367003367,0.2569023569023569,0.2441077441077441,0.0344184855326719,0.5439703323046367,0.2289569792151451,14.36
21,0.2636363636363636,0.2787878787878788,0.3276094276094276,0.3198653198653198,0.3326599326599326,0.3252525252525252,0.2632996632996633,0.2558922558922559,0.0370192752975712,0.5628320197264354,0.2278578958511352,16.77
19,0.265993265993266,0.2595959595959596,0.3178451178451178,0.3003367003367003,0.3164983164983165,0.3185185185185185,0.2508417508417508,0.2548821548821549,0.0352509964197927,0.5981947096983592,0.226780853331089,16.19
17,0.2239057239057239,0.2316498316498316,0.2777777777777778,0.2824915824915825,0.2909090909090909,0.2808080808080808,0.2468013468013468,0.2498316498316498,0.0410384986595933,0.6095839715003968,0.2253730268081029,14.53
15,0.2528619528619528,0.2508417508417508,0.2966329966329966,0.3037037037037037,0.3,0.3037037037037037,0.237037037037037,0.236026936026936,0.0411404325605285,0.6327216522693634,0.2226002805630366,13.4
13,0.2326599326599326,0.2377104377104377,0.2885521885521885,0.2952861952861952,0.2952861952861952,0.296969696969697,0.2663299663299663,0.2744107744107744,0.0422085763334063,0.6584986116886139,0.2197685334682464,17.99
11,0.2377104377104377,0.2296296296296296,0.2882154882154882,0.303030303030303,0.2787878787878788,0.2888888888888888,0.2457912457912457,0.2498316498316498,0.0462847735871747,0.6861094617843628,0.212602584640185,18.98
9,0.2043771043771043,0.201010101010101,0.2377104377104377,0.2575757575757575,0.2518518518518518,0.2616161616161616,0.2175084175084175,0.2168350168350168,0.0549192614125527,0.6908284332752228,0.2192807052334149,14.92
7,0.203030303030303,0.2084175084175084,0.271043771043771,0.2835016835016835,0.2828282828282828,0.2835016835016835,0.2548821548821549,0.2595959595959596,0.0485027604016804,0.7301171873410542,0.2208751173218091,14.69
5,0.2026936026936027,0.1979797979797979,0.307070707070707,0.3101010101010101,0.2797979797979798,0.2804713804713805,0.2461279461279461,0.2575757575757575,0.0663428509253909,0.7741824928919474,0.2193670280873775,20.36
3,0.169023569023569,0.1592592592592592,0.3313131313131313,0.331986531986532,0.27003367003367,0.2801346801346801,0.171043771043771,0.1791245791245791,0.0620776026130887,0.8612738661766052,0.0617404134322423,27.23
1,0.2151515151515151,0.2161616161616161,0.4033670033670034,0.4222222222222222,0.3383838383838384,0.3404040404040404,0.2080808080808081,0.2016835016835017,0.055183799470879,0.8720070411364238,0.0505359537405893,32.54
0,0.2289562289562289,0.2323232323232323,0.3946127946127946,0.4175084175084175,0.338047138047138,0.3626262626262626,0.2259259259259259,0.2188552188552188,0.078668457656093,,,29.54
