epoch,KNN,MLP,NB,val MSE
29,0.2833333333333333,0.4057239057239057,0.3213804713804714,0.013935948707176567
27,0.2814814814814815,0.4080808080808081,0.322053872053872,0.0140671052061828
25,0.2772727272727273,0.4090909090909091,0.3232323232323232,0.0146490863704686
23,0.2811447811447811,0.4099326599326599,0.3223905723905724,0.0142935728902397
21,0.285016835016835,0.4112794612794613,0.3205387205387205,0.0146295215858421
19,0.2823232323232323,0.4127946127946127,0.323063973063973,0.015293483822532
17,0.2914141414141414,0.4112794612794613,0.3225589225589225,0.0153022727070518
15,0.2939393939393939,0.4079124579124579,0.3237373737373737,0.0161848268016749
13,0.2944444444444444,0.4089225589225589,0.3245791245791246,0.0165081901085392
11,0.2946127946127946,0.414983164983165,0.3228956228956229,0.0171027925298888
9,0.2962962962962963,0.4114478114478114,0.3203703703703703,0.017985273903603
7,0.2922558922558922,0.4075757575757576,0.3183501683501683,0.0192809095275365
5,0.3001683501683502,0.4127946127946127,0.3181818181818182,0.0217959644838664
3,0.304040404040404,0.4043771043771044,0.3072390572390572,0.0262119851106542
1,0.2471380471380471,0.3518518518518518,0.2442760942760942,0.0509986095328949
0,0.265993265993266,0.1673400673400673,0.2835016835016835,0.0636649293226204
