epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.2732323232323232,0.23636363636363636,0.40454545454545454,0.42188552188552186,0.3085858585858586,0.27104377104377103,0.00442902455156004
9,0.2740740740740741,0.2387205387205387,0.4122895622895623,0.4343434343434343,0.2979797979797979,0.2562289562289562,0.0046130418434216
8,0.2769360269360269,0.2397306397306397,0.4062289562289562,0.4346801346801346,0.2986531986531986,0.2525252525252525,0.0048234012605685
7,0.2764309764309764,0.2355218855218855,0.4075757575757576,0.4259259259259259,0.2957912457912457,0.2451178451178451,0.0050688484149321
6,0.2797979797979798,0.2419191919191919,0.4065656565656566,0.4358585858585858,0.3134680134680134,0.2398989898989899,0.0054864415867489
5,0.2843434343434343,0.2397306397306397,0.4038720538720539,0.4306397306397306,0.3003367003367003,0.2346801346801346,0.0059311178903265
4,0.2872053872053872,0.2387205387205387,0.4026936026936027,0.4306397306397306,0.3021885521885522,0.2341750841750841,0.0064862821322285
3,0.2914141414141414,0.2356902356902357,0.4094276094276094,0.4299663299663299,0.2998316498316498,0.2356902356902357,0.0073978052595315
2,0.3062289562289562,0.2535353535353535,0.419023569023569,0.4323232323232323,0.3111111111111111,0.2432659932659932,0.0092176086778817
1,0.3087542087542088,0.2429292929292929,0.4151515151515151,0.4474747474747474,0.3087542087542088,0.2681818181818182,0.012455084160976
0,0.2816498316498316,0.2223905723905724,0.3863636363636363,0.301010101010101,0.2927609427609428,0.3205387205387205,0.0649907176927076
