epoch,KNN,MLP,NB,val MSE
29,0.3021885521885522,0.3414141414141414,0.15673400673400673,0.061815452009280666
27,0.2994949494949495,0.3466329966329966,0.1584175084175084,0.0616375622513239
25,0.3026936026936027,0.359090909090909,0.1626262626262626,0.0603231299357558
23,0.306060606060606,0.3419191919191919,0.1681818181818181,0.0603751814188055
21,0.2998316498316498,0.3365319865319865,0.171043771043771,0.0591854968539986
19,0.3065656565656565,0.3412457912457912,0.1784511784511784,0.057173199104691
17,0.3005050505050505,0.3402356902356902,0.1715488215488215,0.0568405106253458
15,0.3,0.3308080808080808,0.1616161616161616,0.0551278693055598
13,0.2929292929292929,0.3321548821548821,0.1621212121212121,0.0549503626834541
11,0.2981481481481481,0.318013468013468,0.1584175084175084,0.0547046223539548
9,0.2872053872053872,0.3239057239057239,0.2277777777777777,0.0507330677172642
7,0.2595959595959596,0.2930976430976431,0.124074074074074,0.0574143754176094
5,0.2543771043771043,0.2838383838383838,0.1193602693602693,0.0547705114840614
3,0.2488215488215488,0.3008417508417508,0.1279461279461279,0.0528339886405963
1,0.1845117845117845,0.189057239057239,0.1436026936026936,0.0620324032622692
0,0.2725589225589225,0.1629629629629629,0.2762626262626262,0.0648869985770798
