epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,probe secs
29,0.34276094276094277,0.33367003367003367,0.4202020202020202,0.42794612794612796,0.41279461279461277,0.4171717171717172,0.34545454545454546,0.3400673400673401,0.07550341198568233,0.44880696415901183,0.1510379292567571,17.36
27,0.3306397306397306,0.3313131313131313,0.4148148148148148,0.4356902356902357,0.4023569023569023,0.4037037037037037,0.3356902356902357,0.3491582491582491,0.075134673084713,0.4498846566677093,0.1460193359851837,18.1
25,0.3255892255892256,0.3191919191919192,0.4292929292929293,0.4336700336700336,0.404040404040404,0.4127946127946127,0.3434343434343434,0.3343434343434343,0.0818130611367589,0.4540054631233215,0.1433637717366218,21.08
23,0.3171717171717171,0.3181818181818182,0.4033670033670034,0.4255892255892256,0.3915824915824916,0.3976430976430976,0.3407407407407407,0.3202020202020202,0.0762727733959525,0.4600248531500499,0.1230044009288152,21.74
21,0.3104377104377104,0.3013468013468013,0.4185185185185185,0.4259259259259259,0.3707070707070707,0.3878787878787879,0.3225589225589225,0.3164983164983165,0.0830230504856651,0.4637315956751505,0.1201300154129664,18.72
19,0.303030303030303,0.2915824915824916,0.406060606060606,0.4124579124579124,0.3666666666666666,0.3703703703703703,0.2939393939393939,0.2835016835016835,0.0860876700382673,0.4712896211942037,0.1067670961221059,24.27
17,0.2791245791245791,0.2777777777777778,0.4107744107744108,0.4185185185185185,0.362962962962963,0.3609427609427609,0.2956228956228956,0.2750841750841751,0.0864917510859072,0.47358789006869,0.0979311735431353,24.12
15,0.2548821548821549,0.2646464646464646,0.403030303030303,0.4,0.3316498316498316,0.3373737373737374,0.2794612794612794,0.2673400673400673,0.08874960037256,0.4800271479288737,0.0800079635282357,28.86
13,0.2579124579124579,0.2377104377104377,0.3983164983164983,0.4134680134680135,0.3289562289562289,0.3208754208754208,0.2609427609427609,0.2494949494949495,0.0953004210261002,0.4854540920257568,0.0752950834234555,27.4
11,0.2407407407407407,0.2441077441077441,0.4003367003367003,0.403030303030303,0.3158249158249158,0.306060606060606,0.241077441077441,0.2356902356902357,0.0991318328421873,0.497665141026179,0.071095349540313,25.94
9,0.2299663299663299,0.2205387205387205,0.3929292929292929,0.396969696969697,0.2949494949494949,0.2973063973063973,0.2296296296296296,0.2117845117845118,0.0956365479086897,0.5091133451461792,0.0656622490783532,25.22
7,0.2124579124579124,0.2094276094276094,0.368013468013468,0.3804713804713804,0.2865319865319865,0.2787878787878788,0.1952861952861952,0.1838383838383838,0.1008519891841373,0.5719263609250387,0.0746292031183838,27.28
5,0.2249158249158249,0.2397306397306397,0.3824915824915825,0.3983164983164983,0.306060606060606,0.3063973063973064,0.234006734006734,0.2313131313131313,0.0737481749952368,0.5829428648948669,0.075251763810714,23.94
3,0.2205387205387205,0.2276094276094276,0.3777777777777777,0.3848484848484848,0.296969696969697,0.3067340067340067,0.2242424242424242,0.2178451178451178,0.0906361524366358,0.595915191968282,0.0688238639384508,29.14
1,0.2447811447811448,0.2494949494949495,0.4006734006734007,0.4121212121212121,0.3279461279461279,0.3269360269360269,0.2232323232323232,0.2087542087542087,0.0815064957759096,0.6131942486763,0.0213084226287901,30.39
0,0.2420875420875421,0.2511784511784511,0.4141414141414141,0.4309764309764309,0.3494949494949494,0.3626262626262626,0.2316498316498316,0.2286195286195286,0.0846037532518854,,,26.94
