epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,probe secs
286,0.27575757575757576,0.25555555555555554,0.43232323232323233,0.4212121212121212,0.46565656565656566,0.45252525252525255,0.3397306397306397,0.3474747474747475,0.004098160625774526,0.004133877710749706,0.23744430840015412,40.03
267,0.2744107744107744,0.2646464646464646,0.4363636363636363,0.4208754208754209,0.4592592592592592,0.4585858585858586,0.3333333333333333,0.3397306397306397,0.0042083139025124,0.0041610464050124,0.238026786049207,43.84
248,0.2808080808080808,0.2629629629629629,0.4303030303030303,0.4188552188552188,0.467003367003367,0.4592592592592592,0.3461279461279461,0.3525252525252525,0.0041963940334951,0.0042413000638286,0.2368017975489298,44.17
229,0.2740740740740741,0.2686868686868687,0.435016835016835,0.4188552188552188,0.4767676767676768,0.4663299663299663,0.3454545454545454,0.3484848484848485,0.0045348706115103,0.004275358490025,0.2365590333938598,53.19
210,0.2771043771043771,0.2646464646464646,0.4356902356902357,0.4343434343434343,0.4646464646464646,0.4616161616161616,0.3491582491582491,0.3545454545454545,0.0045420396250058,0.004339059125632,0.2371267914772033,38.91
191,0.2771043771043771,0.2727272727272727,0.4333333333333333,0.4326599326599326,0.4872053872053872,0.4707070707070707,0.3447811447811448,0.3569023569023569,0.0046532728393325,0.0045581981167197,0.2377453182140986,38.85
172,0.2750841750841751,0.2784511784511784,0.4404040404040404,0.4356902356902357,0.4602693602693603,0.4707070707070707,0.3478114478114478,0.3636363636363636,0.0047291635426479,0.0045678742416203,0.2371198004484176,37.31
153,0.2841750841750842,0.2764309764309764,0.4363636363636363,0.4367003367003367,0.464983164983165,0.4757575757575757,0.3528619528619529,0.3696969696969697,0.0049195145806843,0.0048860436491668,0.2353306128581365,42.67
134,0.2936026936026936,0.2865319865319865,0.4380471380471381,0.4380471380471381,0.4730639730639731,0.4747474747474747,0.3565656565656566,0.3606060606060606,0.0052278958117096,0.0050360725137094,0.2360495124260584,40.88
115,0.2838383838383838,0.2912457912457912,0.439057239057239,0.4420875420875421,0.4791245791245791,0.47003367003367,0.3538720538720539,0.3626262626262626,0.0053320440983145,0.0052315966536601,0.2362764233350753,40.14
96,0.2865319865319865,0.2898989898989899,0.4414141414141414,0.4373737373737373,0.4754208754208754,0.476094276094276,0.3656565656565657,0.3666666666666666,0.0056535258424364,0.0056036558995644,0.235178974866867,37.97
77,0.2895622895622896,0.2902356902356902,0.4471380471380471,0.4478114478114478,0.4801346801346801,0.4764309764309764,0.3592592592592593,0.3626262626262626,0.0059851597222047,0.0059716439495484,0.2346987793842951,35.68
58,0.2973063973063973,0.3037037037037037,0.4575757575757576,0.4528619528619528,0.4835016835016835,0.4723905723905724,0.3632996632996633,0.3656565656565657,0.0069828072842375,0.0061543704817692,0.2337033891677856,38.9
39,0.3117845117845118,0.3043771043771043,0.4501683501683501,0.432996632996633,0.4828282828282828,0.4730639730639731,0.3589225589225589,0.3737373737373737,0.0074826281238181,0.0070871351348857,0.2324186591307322,43.87
20,0.3306397306397306,0.3303030303030303,0.44006734006734,0.4464646464646464,0.4845117845117845,0.4824915824915824,0.3478114478114478,0.3646464646464646,0.0090077355848112,0.0085783503142495,0.2290955791870753,36.42
1,0.3505050505050505,0.3481481481481481,0.4269360269360269,0.434006734006734,0.4589225589225589,0.4505050505050505,0.3296296296296296,0.3323232323232323,0.0190705114571943,0.0272727900495131,0.1765065672000249,33.5
0,0.2609427609427609,0.271043771043771,0.3986531986531986,0.3946127946127946,0.4282828282828282,0.4127946127946127,0.2851851851851852,0.2875420875420875,0.0647803094059387,,,41.03
