epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,KL,probe secs
29,0.23535353535353534,0.2474747474747475,0.37373737373737376,0.37003367003367005,0.37946127946127944,0.3838383838383838,0.2127946127946128,0.2127946127946128,0.06368351704565077,0.08330201979275721,0.0004145681325481184,1.6223324887592336e-06,39.34
27,0.2367003367003367,0.2393939393939393,0.3686868686868687,0.3723905723905724,0.3811447811447811,0.3892255892255892,0.2111111111111111,0.2144781144781145,0.063662747341352,0.0833328444107323,0.0004828043756962,1.8250731243963731e-06,38.15
25,0.2404040404040404,0.2424242424242424,0.374074074074074,0.3771043771043771,0.3767676767676767,0.3882154882154882,0.2158249158249158,0.2161616161616161,0.0636547087802556,0.0833553661871108,0.0006121853766903,3.5188321148171974e-06,39.19
23,0.2461279461279461,0.2434343434343434,0.3781144781144781,0.374074074074074,0.3821548821548821,0.3814814814814815,0.2151515151515151,0.2158249158249158,0.0636604998465859,0.0833363900803456,0.000743600767874,2.4252143396024968e-06,42.34
21,0.24006734006734,0.2437710437710437,0.3828282828282828,0.3696969696969697,0.3808080808080808,0.3868686868686868,0.2259259259259259,0.2168350168350168,0.0636700450725602,0.0833716095917543,0.0008771915487784,4.432883456009767e-06,40.98
19,0.2430976430976431,0.2397306397306397,0.3801346801346801,0.3845117845117845,0.3835016835016835,0.3851851851851852,0.2303030303030303,0.2191919191919192,0.0637182697164123,0.0833053817604757,0.000952675440319,4.653989897598679e-06,32.87
17,0.2444444444444444,0.24006734006734,0.3831649831649831,0.3932659932659932,0.3885521885521885,0.3895622895622895,0.2303030303030303,0.2218855218855218,0.0636490839359815,0.0833109602047379,0.0010652788221438,4.972795508434895e-06,40.67
15,0.241077441077441,0.2461279461279461,0.3855218855218855,0.3952861952861953,0.3811447811447811,0.396969696969697,0.2299663299663299,0.2164983164983165,0.0637674528781198,0.0833274629560245,0.0011783660605259,5.572301361214512e-06,39.23
13,0.2461279461279461,0.2511784511784511,0.3936026936026936,0.3902356902356902,0.3966329966329966,0.4003367003367003,0.2343434343434343,0.2202020202020202,0.0636075223807649,0.0833324137007354,0.0013168095551715,5.686971924625853e-06,37.5
11,0.2498316498316498,0.2558922558922559,0.3936026936026936,0.3858585858585858,0.4037037037037037,0.3855218855218855,0.2343434343434343,0.2185185185185185,0.0637186216868685,0.0833368305662635,0.0014090960256601,5.599165213390537e-06,37.91
9,0.2656565656565656,0.2589225589225589,0.3898989898989899,0.3824915824915825,0.3993265993265993,0.4006734006734007,0.2313131313131313,0.2148148148148148,0.0636857994708032,0.083334348668718,0.0017830853085003,5.448959136571198e-06,37.41
7,0.2703703703703703,0.2548821548821549,0.3902356902356902,0.3811447811447811,0.3929292929292929,0.4037037037037037,0.2323232323232323,0.2171717171717171,0.0637191558392391,0.0833324668513741,0.0019946073769194,5.978105471246641e-06,37.16
5,0.2683501683501683,0.2548821548821549,0.3932659932659932,0.3804713804713804,0.4023569023569023,0.397979797979798,0.2377104377104377,0.2212121212121212,0.0636765050104625,0.0833771512102169,0.0025901409039558,7.481002621195104e-06,35.49
3,0.2565656565656565,0.2572390572390572,0.3909090909090909,0.3787878787878788,0.4067340067340067,0.4107744107744108,0.234006734006734,0.2269360269360269,0.0636730528970912,0.0833576223368098,0.0034479480563028,1.1555642666014142e-05,37.96
1,0.2531986531986532,0.2639730639730639,0.3929292929292929,0.3835016835016835,0.4084175084175084,0.4134680134680135,0.2346801346801346,0.2242424242424242,0.0636719898659848,0.0843862687136716,0.0124142145660889,0.0007462640999729,40.24
0,0.2737373737373737,0.2818181818181818,0.3838383838383838,0.3872053872053872,0.3929292929292929,0.4043771043771044,0.2831649831649832,0.2905723905723906,0.0637152142571301,,,,32.22
