epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,probe secs
29,0.2494949494949495,0.24579124579124578,0.37003367003367005,0.3501683501683502,0.3983164983164983,0.396969696969697,0.30336700336700334,0.3212121212121212,0.0767070119985467,0.5768984051267053,0.1725999970155157,36.74
27,0.2471380471380471,0.234006734006734,0.3734006734006734,0.3488215488215488,0.3885521885521885,0.3888888888888889,0.3016835016835016,0.3121212121212121,0.0759489287160747,0.5801256196514056,0.1716355069237909,40.28
25,0.2478114478114478,0.2282828282828282,0.3656565656565657,0.3451178451178451,0.3946127946127946,0.3841750841750841,0.2979797979797979,0.2979797979797979,0.0767287063093105,0.5837180105743894,0.1720396434045901,42.06
23,0.2387205387205387,0.2239057239057239,0.3609427609427609,0.3444444444444444,0.3902356902356902,0.3875420875420875,0.2905723905723906,0.295959595959596,0.0768430389358031,0.587155816281677,0.1707910899144069,42.05
21,0.2225589225589225,0.2205387205387205,0.3585858585858585,0.3383838383838384,0.3898989898989899,0.3723905723905724,0.2814814814814815,0.2895622895622896,0.0770055768584591,0.5933494453976869,0.1698141414078937,37.07
19,0.2198653198653198,0.2117845117845118,0.3451178451178451,0.3444444444444444,0.3861952861952862,0.3767676767676767,0.2703703703703703,0.2713804713804714,0.0773543766360617,0.6003530014092755,0.1687644543541464,43.42
17,0.2141414141414141,0.2074074074074074,0.3444444444444444,0.3407407407407407,0.3801346801346801,0.3622895622895623,0.2589225589225589,0.2612794612794613,0.0769073407283155,0.6093883370138278,0.1669108570571158,40.67
15,0.1993265993265993,0.1946127946127946,0.335016835016835,0.3282828282828283,0.3841750841750841,0.3531986531986532,0.2501683501683501,0.2488215488215488,0.0765002256732427,0.6167216130123017,0.1651041980381984,49.84
13,0.2063973063973063,0.2067340067340067,0.338047138047138,0.3346801346801347,0.374074074074074,0.3619528619528619,0.2582491582491582,0.2511784511784511,0.0754360651422034,0.6252146845410584,0.1621017851837121,37.87
11,0.2080808080808081,0.2101010101010101,0.3535353535353535,0.3565656565656566,0.3791245791245791,0.374074074074074,0.2619528619528619,0.2619528619528619,0.0753369395808047,0.6358591359891709,0.1600412320179544,47.47
9,0.2451178451178451,0.2441077441077441,0.3538720538720539,0.3343434343434343,0.3946127946127946,0.3686868686868687,0.2632996632996633,0.2542087542087542,0.076271570683002,0.6541821277065641,0.1578210761212999,49.43
7,0.2478114478114478,0.2572390572390572,0.3565656565656566,0.3491582491582491,0.3962962962962963,0.3653198653198653,0.2363636363636363,0.2306397306397306,0.0750760569520043,0.6878558868055891,0.1553503966825023,46.96
5,0.2555555555555555,0.2430976430976431,0.3673400673400673,0.3535353535353535,0.3936026936026936,0.3902356902356902,0.2303030303030303,0.2232323232323232,0.0757839129526386,0.7368227471211913,0.1537170627504397,41.42
3,0.2767676767676768,0.2747474747474747,0.3875420875420875,0.3781144781144781,0.4013468013468013,0.3986531986531986,0.2784511784511784,0.2636363636363636,0.0773793522460422,0.8166207253553306,0.1437613602466644,45.8
1,0.3164983164983165,0.306060606060606,0.4084175084175084,0.4101010101010101,0.4309764309764309,0.4252525252525252,0.2835016835016835,0.2898989898989899,0.0679439160026623,0.971661777633011,0.0541194398312052,44.1
0,0.2760942760942761,0.2616161616161616,0.3942760942760943,0.3865319865319865,0.428956228956229,0.4343434343434343,0.2878787878787879,0.2942760942760943,0.0640357213283411,,,47.89
