epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,probe secs
29,0.13804713804713806,0.13602693602693602,0.25757575757575757,0.26262626262626265,0.2915824915824916,0.28114478114478114,0.21616161616161617,0.22255892255892257,0.10994603875263546,668.9053477876505,0.018109874349016293,36.03
27,0.1397306397306397,0.1373737373737373,0.2740740740740741,0.2747474747474747,0.2787878787878788,0.2925925925925925,0.2272727272727272,0.2208754208754208,0.1043467087998695,669.3829988613251,0.0180725793407601,33.67
25,0.143097643097643,0.1373737373737373,0.2791245791245791,0.2774410774410774,0.2936026936026936,0.2771043771043771,0.2363636363636363,0.2323232323232323,0.0990876380890131,670.2174760854928,0.0179379544914907,36.18
23,0.1451178451178451,0.1420875420875421,0.2740740740740741,0.2713804713804714,0.302020202020202,0.2861952861952861,0.231986531986532,0.238047138047138,0.0942038790873693,671.0374970648699,0.017788999233466,36.23
21,0.1434343434343434,0.1407407407407407,0.2912457912457912,0.2784511784511784,0.2892255892255892,0.3016835016835016,0.2265993265993266,0.231986531986532,0.0876291227356578,671.7837661937543,0.0176382178832201,38.18
19,0.1484848484848485,0.1367003367003367,0.3006734006734006,0.2925925925925925,0.296969696969697,0.2875420875420875,0.2289562289562289,0.2393939393939393,0.0824223533802091,673.0641544123364,0.0177555726188573,30.72
17,0.1363636363636363,0.141077441077441,0.3043771043771043,0.2898989898989899,0.2942760942760943,0.2956228956228956,0.234006734006734,0.2289562289562289,0.0755660752459804,674.5354877642006,0.0179067028650812,30.84
15,0.1471380471380471,0.1518518518518518,0.3111111111111111,0.3037037037037037,0.296969696969697,0.2952861952861952,0.2303030303030303,0.2343434343434343,0.0706516849753805,676.2808553610638,0.0178309487072145,34.3
13,0.1521885521885521,0.1582491582491582,0.3151515151515151,0.3023569023569024,0.3111111111111111,0.3016835016835016,0.2437710437710437,0.2468013468013468,0.0672224878894287,678.5397988094645,0.0171304229575737,32.64
11,0.1585858585858585,0.1612794612794612,0.3343434343434343,0.3188552188552188,0.3101010101010101,0.3158249158249158,0.2515151515151515,0.2491582491582491,0.065679997629213,681.6015836387683,0.0157469199661901,35.17
9,0.169023569023569,0.1629629629629629,0.3457912457912458,0.3289562289562289,0.306060606060606,0.3188552188552188,0.2595959595959596,0.2535353535353535,0.0649779581631902,684.9438525643318,0.0140432289617646,34.0
7,0.174074074074074,0.1774410774410774,0.3592592592592593,0.3562289562289562,0.3407407407407407,0.3333333333333333,0.2518518518518518,0.2595959595959596,0.0648583969362675,688.3392821876866,0.0119839276774388,35.74
5,0.2053872053872054,0.2006734006734006,0.3750841750841751,0.3663299663299663,0.373063973063973,0.3717171717171717,0.2609427609427609,0.27003367003367,0.0647879242830865,693.4782008274345,0.0082213242900124,36.5
3,0.2696969696969697,0.2734006734006734,0.3885521885521885,0.406060606060606,0.398989898989899,0.4151515151515151,0.2750841750841751,0.2804713804713805,0.0649203369873666,699.3647018238238,0.0012924416012213,27.2
1,0.2703703703703703,0.2760942760942761,0.3946127946127946,0.402020202020202,0.4124579124579124,0.4232323232323232,0.2703703703703703,0.2663299663299663,0.0649224759127488,701.9621166545114,0.0057069081101258,28.06
0,0.2814814814814815,0.2771043771043771,0.3952861952861953,0.3915824915824916,0.4107744107744108,0.4306397306397306,0.2902356902356902,0.2986531986531986,0.0641509660620566,,,30.77
