epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,KL,probe secs
29,0.4239057239057239,0.44612794612794615,0.4983164983164983,0.49427609427609426,0.5067340067340067,0.5269360269360269,0.4212121212121212,0.42424242424242425,0.049755096177489466,0.42214709679285684,0.18116094589233397,0.018844020813703538,10.75
27,0.4222222222222222,0.4333333333333333,0.5003367003367003,0.4996632996632996,0.5087542087542087,0.5242424242424243,0.4195286195286195,0.4313131313131313,0.046810164101435,0.4271578196684519,0.1768695046504338,0.0186151108145713,11.58
25,0.4276094276094276,0.4303030303030303,0.4919191919191919,0.5063973063973064,0.5124579124579125,0.5191919191919192,0.4154882154882154,0.4222222222222222,0.0470077404901252,0.4290087529023488,0.1719974511861801,0.018142304594318,11.33
23,0.4148148148148148,0.4262626262626263,0.5080808080808081,0.4976430976430976,0.5080808080808081,0.5121212121212121,0.4114478114478114,0.4127946127946127,0.0495302780509842,0.4329509667555491,0.1685916316509247,0.017719472212096,12.77
21,0.4121212121212121,0.4124579124579124,0.4946127946127946,0.5043771043771044,0.4966329966329966,0.4969696969696969,0.398989898989899,0.402020202020202,0.0460876532719465,0.4387284310658773,0.1640878067413965,0.0168994006390372,9.8
19,0.4252525252525252,0.4279461279461279,0.5094276094276095,0.4922558922558923,0.4919191919191919,0.5053872053872054,0.4094276094276094,0.4168350168350168,0.0535026531448161,0.4419572230180104,0.1553347635269165,0.0169562303523222,14.91
17,0.4117845117845118,0.4276094276094276,0.5026936026936027,0.4922558922558923,0.5077441077441077,0.5077441077441077,0.3959595959595959,0.4134680134680135,0.053707969694218,0.4478879352410634,0.1488307331005732,0.0165126255651315,12.42
15,0.4141414141414141,0.4181818181818181,0.4979797979797979,0.4821548821548821,0.4946127946127946,0.5111111111111111,0.3865319865319865,0.4026936026936027,0.0581502157063297,0.450887891848882,0.138863964676857,0.0160144070535898,10.64
13,0.4171717171717172,0.405050505050505,0.4986531986531986,0.4966329966329966,0.5053872053872054,0.5006734006734007,0.3946127946127946,0.402020202020202,0.0571019259375746,0.4560749848683675,0.1287183894713719,0.0150284725303451,12.55
11,0.4151515151515151,0.3949494949494949,0.4973063973063973,0.4872053872053872,0.4979797979797979,0.4922558922558923,0.3784511784511784,0.3808080808080808,0.060548058160139,0.4629851579666137,0.1165785653392473,0.0137516663844386,16.47
9,0.4124579124579124,0.401010101010101,0.4993265993265993,0.4787878787878787,0.4898989898989899,0.4966329966329966,0.3619528619528619,0.373063973063973,0.068560260981586,0.4719614644845327,0.1058639774719874,0.0132904315118988,11.06
7,0.3888888888888889,0.3821548821548821,0.4868686868686869,0.4744107744107744,0.4828282828282828,0.4814814814814814,0.3424242424242424,0.3505050505050505,0.0785272348189121,0.4791781711578369,0.086388243039449,0.0121176849553982,13.67
5,0.3895622895622895,0.3750841750841751,0.4683501683501683,0.4643097643097643,0.4703703703703704,0.4686868686868687,0.331986531986532,0.3427609427609427,0.0844041533225594,0.4874274333318074,0.0720024903615315,0.0111470185096065,13.3
3,0.3542087542087542,0.3707070707070707,0.4430976430976431,0.4531986531986532,0.4771043771043771,0.4673400673400673,0.3232323232323232,0.3306397306397306,0.0904165055225628,0.5014059555530548,0.0576136541366577,0.0103732276583711,14.18
1,0.3289562289562289,0.3181818181818182,0.428956228956229,0.4373737373737373,0.4525252525252525,0.4616161616161616,0.2723905723905724,0.2841750841750842,0.0850515733894827,0.5790833322207133,0.0511802064875761,0.015487670438985,18.01
0,0.27003367003367,0.2737373737373737,0.3952861952861953,0.3858585858585858,0.4087542087542087,0.4013468013468013,0.2814814814814815,0.2865319865319865,0.0648761921583759,,,,13.38
