epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.25707070707070706,0.18198653198653197,0.33080808080808083,0.2801346801346801,0.24797979797979797,0.3074074074074074,0.020047841995597202
9,0.2604377104377104,0.1877104377104377,0.3294612794612794,0.2804713804713805,0.2407407407407407,0.3092592592592592,0.0200775391165808
8,0.257070707070707,0.1774410774410774,0.3292929292929293,0.2797979797979798,0.2437710437710437,0.3069023569023569,0.0199807960702169
7,0.2572390572390572,0.1771043771043771,0.3368686868686869,0.2821548821548821,0.2466329966329966,0.3101010101010101,0.020414974795221
6,0.2563973063973064,0.1902356902356902,0.3316498316498316,0.2907407407407407,0.2462962962962963,0.3095959595959596,0.0199722767266615
5,0.2622895622895623,0.186026936026936,0.3348484848484848,0.2974747474747474,0.2447811447811448,0.3087542087542088,0.0211722207012492
4,0.2580808080808081,0.184006734006734,0.3316498316498316,0.2983164983164983,0.2474747474747475,0.3124579124579124,0.0200494402642386
3,0.2575757575757575,0.1819865319865319,0.3412457912457912,0.3095959595959596,0.2513468013468014,0.3127946127946128,0.0215317541849179
2,0.267003367003367,0.1898989898989899,0.3449494949494949,0.3264309764309764,0.2478114478114478,0.3185185185185185,0.022683118345947
1,0.2708754208754209,0.1863636363636363,0.3602693602693603,0.3471380471380471,0.2545454545454545,0.3127946127946128,0.0250993777384078
0,0.2345117845117845,0.1895622895622895,0.3143097643097643,0.1067340067340067,0.2619528619528619,0.2547138047138047,0.0660080405656863
