epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.42794612794612796,0.3106060606060606,0.49242424242424243,0.5094276094276095,0.36683501683501685,0.4234006734006734,0.05638461794909321
9,0.4237373737373737,0.3111111111111111,0.4873737373737373,0.5057239057239057,0.3720538720538721,0.4121212121212121,0.061160718112337
8,0.4158249158249158,0.3114478114478115,0.4782828282828283,0.5003367003367003,0.3718855218855219,0.4075757575757576,0.0644492696289164
7,0.4156565656565656,0.3037037037037037,0.4747474747474747,0.4909090909090909,0.358080808080808,0.3994949494949495,0.0692177204875073
6,0.4122895622895623,0.3090909090909091,0.4781144781144781,0.486026936026936,0.3720538720538721,0.388047138047138,0.0692583224000028
5,0.3941077441077441,0.3052188552188552,0.4641414141414141,0.4742424242424242,0.3688552188552189,0.3658249158249158,0.071029906652431
4,0.3722222222222222,0.3087542087542088,0.4417508417508417,0.4592592592592592,0.3594276094276094,0.3601010101010101,0.0712746916732504
3,0.3595959595959596,0.2934343434343434,0.431986531986532,0.441077441077441,0.3419191919191919,0.3388888888888889,0.0712180219815637
2,0.3102693602693602,0.2823232323232323,0.405050505050505,0.3892255892255892,0.3092592592592592,0.2653198653198653,0.0705118637538612
1,0.2292929292929293,0.2287878787878788,0.3287878787878788,0.2907407407407407,0.2888888888888888,0.1787878787878788,0.0709478574843008
0,0.2429292929292929,0.1821548821548821,0.3227272727272727,0.1158249158249158,0.2567340067340067,0.2626262626262626,0.0645235493368937
