epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,KL,probe secs
29,0.28585858585858587,0.2804713804713805,0.40404040404040403,0.38316498316498315,0.3915824915824916,0.3760942760942761,0.2723905723905724,0.27710437710437713,0.02793828463826997,0.03895936952903867,0.17348567210137844,0.005930394574534148,29.17
27,0.2895622895622896,0.2754208754208754,0.3888888888888889,0.3841750841750841,0.3892255892255892,0.3764309764309764,0.2626262626262626,0.272053872053872,0.029080974629569,0.0388040239922702,0.1797464769333601,0.0060864374390803,30.07
25,0.2882154882154882,0.2760942760942761,0.3929292929292929,0.3797979797979798,0.3956228956228956,0.3707070707070707,0.2646464646464646,0.272053872053872,0.0291023353349622,0.0391768114641308,0.1722815278917551,0.0053811863181181,30.76
23,0.2845117845117845,0.2713804713804714,0.3865319865319865,0.3841750841750841,0.3902356902356902,0.37003367003367,0.2666666666666666,0.2737373737373737,0.0283489328598997,0.0394750772975385,0.1755146346986293,0.005678127228748,36.55
21,0.2801346801346801,0.264983164983165,0.3946127946127946,0.3835016835016835,0.3919191919191919,0.3764309764309764,0.2629629629629629,0.2683501683501683,0.0295444295557999,0.0401717750355601,0.1709010973572731,0.0049753385828807,30.36
19,0.2717171717171717,0.2747474747474747,0.3909090909090909,0.3791245791245791,0.3858585858585858,0.367003367003367,0.2619528619528619,0.2686868686868687,0.0291069404389146,0.0404862477444112,0.172616921365261,0.0058460825239308,37.81
17,0.2791245791245791,0.2713804713804714,0.3912457912457912,0.3919191919191919,0.3831649831649831,0.374074074074074,0.2592592592592592,0.2666666666666666,0.0296178279745642,0.0411611963063478,0.1707904711365699,0.0055212599691003,28.05
15,0.273063973063973,0.269023569023569,0.3925925925925926,0.3787878787878788,0.3983164983164983,0.3774410774410774,0.2653198653198653,0.2676767676767677,0.0299324335407988,0.041179112624377,0.1678312998265028,0.0056140277883969,32.59
13,0.2643097643097643,0.2767676767676768,0.3902356902356902,0.3757575757575757,0.3757575757575757,0.3720538720538721,0.2562289562289562,0.2629629629629629,0.0302104599621696,0.0407484220340848,0.1666522938758134,0.0053649277542717,36.5
11,0.2774410774410774,0.2656565656565656,0.3909090909090909,0.3747474747474748,0.3872053872053872,0.3764309764309764,0.2582491582491582,0.2595959595959596,0.0301388123339012,0.0417310060001909,0.1701472606509924,0.0057162757148034,27.08
9,0.2639730639730639,0.2552188552188552,0.3855218855218855,0.3777777777777777,0.3794612794612794,0.3744107744107744,0.2602693602693602,0.2673400673400673,0.030747150486173,0.04128995584324,0.1677353214472532,0.005737135244999,37.5
7,0.2585858585858586,0.2548821548821549,0.3851851851851852,0.3804713804713804,0.3885521885521885,0.3818181818181818,0.2484848484848484,0.2471380471380471,0.0326588822009296,0.0427520279772579,0.159327358007431,0.0048766341642476,36.32
5,0.2518518518518518,0.2478114478114478,0.3855218855218855,0.3878787878787879,0.3888888888888889,0.3814814814814815,0.241077441077441,0.2515151515151515,0.0325849964705231,0.0437314352020621,0.1591958310455083,0.0053791977115906,32.32
3,0.2505050505050505,0.2602693602693602,0.3784511784511784,0.3794612794612794,0.3973063973063973,0.3818181818181818,0.2484848484848484,0.2478114478114478,0.0404132242723108,0.0480415862984955,0.1407931372523307,0.0051379853975959,35.52
1,0.2713804713804714,0.2744107744107744,0.3835016835016835,0.3845117845117845,0.4053872053872054,0.4127946127946127,0.2437710437710437,0.2363636363636363,0.0635403788468236,0.0757361333817243,0.0692153661511838,0.011870146729052,36.42
0,0.2542087542087542,0.2599326599326599,0.3865319865319865,0.3872053872053872,0.4175084175084175,0.4127946127946127,0.2723905723905724,0.2747474747474747,0.0640065583994291,,,,30.66
