epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.17323232323232324,0.17996632996632997,0.2644781144781145,0.20841750841750842,0.22710437710437711,0.12811447811447813,0.05919971929773768
9,0.176094276094276,0.1875420875420875,0.2624579124579124,0.2048821548821549,0.2138047138047138,0.153030303030303,0.0612621372549085
8,0.1715488215488215,0.1804713804713804,0.2676767676767677,0.2116161616161616,0.215993265993266,0.1424242424242424,0.0607197660668281
7,0.1846801346801346,0.1836700336700336,0.2658249158249158,0.1966329966329966,0.2213804713804713,0.1575757575757575,0.0618885973365861
6,0.1988215488215488,0.1696969696969697,0.2668350168350168,0.2420875420875421,0.2195286195286195,0.147979797979798,0.0637318144815429
5,0.1824915824915824,0.1749158249158249,0.2498316498316498,0.2097643097643097,0.2082491582491582,0.1404040404040404,0.0640114517171154
4,0.189057239057239,0.1818181818181818,0.2548821548821549,0.2018518518518518,0.2239057239057239,0.1526936026936027,0.0650178837270656
3,0.1946127946127946,0.1846801346801346,0.2767676767676768,0.169023569023569,0.2439393939393939,0.1779461279461279,0.0634348263193193
2,0.1744107744107744,0.1831649831649831,0.2656565656565656,0.1892255892255892,0.2153198653198653,0.1594276094276094,0.0683144291541928
1,0.2311447811447811,0.2114478114478114,0.3400673400673401,0.1888888888888888,0.2629629629629629,0.2018518518518518,0.0638834334526138
0,0.2565656565656565,0.1898989898989899,0.3486531986531986,0.1006734006734006,0.2592592592592592,0.3015151515151515,0.0643635234310826
