epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.17845117845117844,0.17609427609427608,0.25707070707070706,0.24292929292929294,0.20202020202020202,0.19478114478114478,0.04321821176878724
9,0.1791245791245791,0.1794612794612794,0.2574074074074074,0.2427609427609427,0.2102693602693602,0.1961279461279461,0.042816261124018
8,0.1792929292929292,0.1792929292929292,0.2594276094276094,0.2454545454545454,0.2124579124579124,0.1956228956228956,0.0430440186898407
7,0.1828282828282828,0.1868686868686868,0.2558922558922559,0.2484848484848484,0.2099326599326599,0.1962962962962963,0.0431056336680059
6,0.1858585858585858,0.1868686868686868,0.2589225589225589,0.2525252525252525,0.2065656565656565,0.1994949494949495,0.0430399947874181
5,0.1878787878787878,0.1764309764309764,0.2611111111111111,0.2548821548821549,0.2094276094276094,0.198989898989899,0.043087860724854
4,0.1877104377104377,0.1769360269360269,0.2506734006734006,0.2454545454545454,0.2131313131313131,0.2011784511784511,0.04407191312943
3,0.1867003367003367,0.1723905723905724,0.2614478114478114,0.2604377104377104,0.2163299663299663,0.2080808080808081,0.046308788039174
2,0.1898989898989899,0.1806397306397306,0.2590909090909091,0.2479797979797979,0.2267676767676767,0.1942760942760942,0.0527226279024861
1,0.189057239057239,0.1727272727272727,0.2508417508417508,0.1993265993265993,0.1988215488215488,0.151010101010101,0.0604386717464847
0,0.1759259259259259,0.1414141414141414,0.2245791245791245,0.1067340067340067,0.2082491582491582,0.1993265993265993,0.0634735236490281
