epoch,KNN,MLP,NB,val MSE
29,0.23956228956228956,0.40723905723905723,0.3287878787878788,0.006024039103972129
27,0.2447811447811448,0.4099326599326599,0.3291245791245791,0.0061719803012192
25,0.2452861952861952,0.4122895622895623,0.3289562289562289,0.0061677980110988
23,0.2447811447811448,0.4151515151515151,0.3292929292929293,0.0065634325775276
21,0.2454545454545454,0.4183501683501683,0.3291245791245791,0.0064847407056941
19,0.2466329966329966,0.4111111111111111,0.3299663299663299,0.006789048312341
17,0.2405723905723905,0.4228956228956229,0.3335016835016835,0.0072512396513674
15,0.2373737373737373,0.4218855218855218,0.3382154882154882,0.0074216876101231
13,0.2353535353535353,0.4234006734006734,0.3439393939393939,0.0073638293812742
11,0.2367003367003367,0.4181818181818181,0.3456228956228956,0.0085700828247897
9,0.234006734006734,0.4202020202020202,0.35,0.0085560022158544
7,0.2309764309764309,0.4146464646464646,0.3387205387205387,0.0099221151222873
5,0.2557239057239057,0.4156565656565656,0.3215488215488215,0.0119806775925796
3,0.2750841750841751,0.412962962962963,0.3164983164983165,0.0132765524092644
1,0.3138047138047138,0.42003367003367,0.3188552188552188,0.0163567538768529
0,0.265993265993266,0.1673400673400673,0.2835016835016835,0.0636649293226204
