epoch,KNN,MLP,NB,val MSE
29,0.19966329966329965,0.3405723905723906,0.2713804713804714,0.016955745553673903
27,0.1942760942760942,0.3409090909090909,0.271043771043771,0.0162742028482668
25,0.1878787878787878,0.3436026936026936,0.2722222222222222,0.0139279729698256
23,0.1930976430976431,0.3481481481481481,0.2740740740740741,0.0163174822453416
21,0.1851851851851851,0.3493265993265993,0.273063973063973,0.0150223422917945
19,0.1737373737373737,0.3474747474747475,0.2742424242424242,0.0145779589148069
17,0.1801346801346801,0.3585858585858585,0.2757575757575757,0.0168707595052955
15,0.1789562289562289,0.3553872053872053,0.2777777777777778,0.0166513259517654
13,0.1791245791245791,0.3595959595959596,0.2821548821548821,0.0166153736448917
11,0.176094276094276,0.3648148148148148,0.2846801346801347,0.0197822561050842
9,0.1782828282828283,0.3681818181818181,0.2882154882154882,0.0198870731607
7,0.1765993265993266,0.3728956228956229,0.2927609427609428,0.0242633398747994
5,0.1707070707070707,0.3702020202020202,0.296969696969697,0.0284034852103907
3,0.1747474747474747,0.3734006734006734,0.3018518518518518,0.0376396048979479
1,0.1755892255892256,0.3702020202020202,0.3021885521885522,0.0494893726629749
0,0.265993265993266,0.1673400673400673,0.2835016835016835,0.0636649293093867
