mode,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,n_bn_layers,probed
plain,0.2673400673400673,0.2892255892255892,0.38585858585858585,0.3929292929292929,0.4043771043771044,0.4063973063973064,0.22525252525252526,0.23164983164983166,7,2026-09-11 17:38:33
adabn,0.27037037037037037,0.27474747474747474,0.38686868686868686,0.38855218855218854,0.3915824915824916,0.39865319865319865,0.20639730639730638,0.19393939393939394,7,2026-09-11 17:38:33
