epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,KL,probe secs
29,0.2717171717171717,0.28585858585858587,0.38417508417508417,0.3878787878787879,0.4080808080808081,0.4063973063973064,0.22323232323232323,0.23232323232323232,0.09766240722332713,0.15179196246870005,0.005282341149653409,2.9674517875018226e-06,16.41
27,0.2764309764309764,0.2872053872053872,0.3811447811447811,0.3888888888888889,0.4016835016835017,0.4138047138047138,0.2212121212121212,0.2286195286195286,0.0979757553915994,0.1513676189692916,0.0055894563538111,3.292210385842256e-06,16.09
25,0.265993265993266,0.2858585858585858,0.3804713804713804,0.3824915824915825,0.3959595959595959,0.4087542087542087,0.2158249158249158,0.2239057239057239,0.0975748976398107,0.1517967618764585,0.0064747762706154,4.410836570181125e-06,19.03
23,0.2636363636363636,0.2895622895622896,0.3848484848484848,0.3865319865319865,0.3956228956228956,0.4245791245791245,0.2141414141414141,0.2282828282828282,0.0970897792605269,0.1519251983067032,0.0085528111767474,1.2527394582824982e-05,23.44
21,0.2619528619528619,0.2841750841750842,0.3861952861952862,0.3905723905723905,0.3909090909090909,0.4087542087542087,0.2175084175084175,0.2269360269360269,0.0973668048293933,0.1518833266132196,0.0125470899911538,0.0001288260443816,21.2
19,0.2764309764309764,0.2784511784511784,0.3831649831649831,0.3898989898989899,0.3996632996632996,0.4178451178451178,0.2188552188552188,0.2262626262626262,0.0972096535309381,0.1529193101035561,0.0140844693668423,0.0005116654752018,16.54
17,0.2535353535353535,0.2562289562289562,0.3865319865319865,0.3777777777777777,0.401010101010101,0.4114478114478114,0.206060606060606,0.205050505050505,0.096073476792864,0.1535668772686818,0.0146833545332596,0.0008653120362425,25.23
15,0.2558922558922559,0.2740740740740741,0.3855218855218855,0.3838383838383838,0.397979797979798,0.4087542087542087,0.2124579124579124,0.201010101010101,0.0964129715893239,0.1539580322754611,0.01482998393476,0.0014501464424156,21.36
13,0.2629629629629629,0.2616161616161616,0.3861952861952862,0.3764309764309764,0.401010101010101,0.397979797979798,0.205050505050505,0.1929292929292929,0.0974899986576864,0.1545526045522872,0.0153079617732934,0.0017313744756393,20.85
11,0.2639730639730639,0.2828282828282828,0.3831649831649831,0.3845117845117845,0.4,0.4063973063973064,0.2134680134680134,0.2191919191919192,0.0982103891286926,0.154978939966791,0.0164705350295088,0.0016543649813267,20.37
9,0.2747474747474747,0.272053872053872,0.3828282828282828,0.3787878787878788,0.4111111111111111,0.4003367003367003,0.2141414141414141,0.2185185185185185,0.0936757623355299,0.1557007618960301,0.0156059866877877,0.0020399777808932,23.55
7,0.2703703703703703,0.2787878787878788,0.3925925925925926,0.3932659932659932,0.4087542087542087,0.4117845117845118,0.1979797979797979,0.1875420875420875,0.0962092220174482,0.1560898948057442,0.0160746357113028,0.002169618659629,19.38
5,0.2713804713804714,0.2548821548821549,0.3841750841750841,0.3744107744107744,0.4084175084175084,0.4053872053872054,0.2047138047138047,0.1959595959595959,0.0904125287917113,0.1584361060789436,0.0166795710694922,0.0033807296092343,19.49
3,0.2643097643097643,0.2656565656565656,0.3814814814814815,0.3818181818181818,0.401010101010101,0.3983164983164983,0.1946127946127946,0.1885521885521885,0.0913940286710461,0.1614879670606297,0.0179182048946334,0.0036108040852934,22.12
1,0.2653198653198653,0.2828282828282828,0.3956228956228956,0.3723905723905724,0.4097643097643098,0.3976430976430976,0.2215488215488215,0.2144781144781145,0.0811807328494361,0.2461304839249629,0.0308374605337335,0.0130702896506353,21.62
0,0.2542087542087542,0.2599326599326599,0.3865319865319865,0.3872053872053872,0.4175084175084175,0.4127946127946127,0.2723905723905724,0.2747474747474747,0.0640065583994291,,,,21.23
