epoch,KNN,MLP,NB,val MSE
29,0.4895622895622896,0.5993265993265994,0.4781144781144781,0.027513586014482734
27,0.4941077441077441,0.5892255892255892,0.4747474747474747,0.0264998536166564
25,0.4936026936026936,0.5804713804713805,0.4786195286195286,0.0284389973010993
23,0.4867003367003367,0.5887205387205388,0.4691919191919192,0.0319384933808292
21,0.4927609427609428,0.5819865319865319,0.4607744107744108,0.0319788761595743
19,0.4961279461279461,0.5718855218855219,0.4617845117845118,0.0333253715855613
17,0.4914141414141414,0.5696969696969697,0.4577441077441077,0.0339723167904581
15,0.4863636363636364,0.5734006734006734,0.4459595959595959,0.0398389848865581
13,0.4851851851851851,0.5681818181818182,0.4442760942760942,0.0457789512089789
11,0.4823232323232323,0.567003367003367,0.432996632996633,0.0520913803463613
9,0.463973063973064,0.5582491582491582,0.4186868686868686,0.0622832933325009
7,0.4368686868686868,0.5425925925925926,0.3932659932659932,0.069466977094037
5,0.4217171717171717,0.5060606060606061,0.384006734006734,0.0736217162642978
3,0.3939393939393939,0.4693602693602693,0.3461279461279461,0.0758623907451731
1,0.2868686868686869,0.3296296296296296,0.2228956228956229,0.0769370093703481
0,0.265993265993266,0.1673400673400673,0.2835016835016835,0.0636649293226204
