epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.2696969696969697,0.23383838383838385,0.36313131313131314,0.3474747474747475,0.2878787878787879,0.21632996632996632,0.12666592428040546
9,0.2715488215488215,0.2363636363636363,0.3673400673400673,0.3468013468013468,0.2683501683501683,0.201010101010101,0.1251546425437207
8,0.2767676767676768,0.2377104377104377,0.3643097643097643,0.3084175084175084,0.2786195286195286,0.1994949494949495,0.1247383676879571
7,0.2722222222222222,0.2456228956228956,0.3675084175084175,0.3203703703703703,0.2826599326599326,0.1922558922558922,0.1244584750748019
6,0.2774410774410774,0.2356902356902357,0.358080808080808,0.3592592592592593,0.288047138047138,0.1979797979797979,0.1196267181481391
5,0.2781144781144781,0.2412457912457912,0.3651515151515151,0.3447811447811448,0.2902356902356902,0.2,0.1186937135553275
4,0.2732323232323232,0.237037037037037,0.3664983164983165,0.3552188552188552,0.2801346801346801,0.2001683501683501,0.1139720816886446
3,0.2838383838383838,0.2303030303030303,0.3617845117845117,0.3663299663299663,0.2791245791245791,0.1882154882154882,0.1131209074577472
2,0.27996632996633,0.231986531986532,0.3612794612794612,0.3695286195286195,0.2855218855218855,0.2119528619528619,0.1153056620889828
1,0.2328282828282828,0.2126262626262626,0.3222222222222222,0.3097643097643097,0.2454545454545454,0.154040404040404,0.0767450745996637
0,0.2723905723905724,0.2092592592592592,0.3735690235690235,0.1638047138047138,0.2786195286195286,0.2715488215488215,0.0643969156364141
