epoch,KNN,MLP,NB,val MSE
29,0.30925925925925923,0.42188552188552186,0.30067340067340065,0.053302116923656176
27,0.3109427609427609,0.4178451178451178,0.3025252525252525,0.0558378103505125
25,0.3077441077441077,0.4045454545454545,0.2947811447811447,0.0589361874648034
23,0.2909090909090909,0.3865319865319865,0.2735690235690236,0.0611955018426237
21,0.2853535353535353,0.3513468013468013,0.2671717171717171,0.0627234521029156
19,0.2764309764309764,0.3356902356902357,0.257070707070707,0.0632484484179405
17,0.2747474747474747,0.2983164983164983,0.2446127946127946,0.06349176176382
15,0.2589225589225589,0.2695286195286195,0.2316498316498316,0.0635730346489439
13,0.2594276094276094,0.2599326599326599,0.2314814814814814,0.0636236422478517
11,0.2511784511784511,0.2494949494949495,0.223063973063973,0.0636481154796073
9,0.2612794612794613,0.234006734006734,0.2276094276094276,0.0636614695667797
7,0.2653198653198653,0.2143097643097643,0.2303030303030303,0.0636711662989209
5,0.2424242424242424,0.1728956228956229,0.2417508417508417,0.0636762591082185
3,0.2459595959595959,0.1006734006734006,0.2639730639730639,0.0636784413673949
1,0.2498316498316498,0.1885521885521885,0.2244107744107744,0.0636721231625622
0,0.2584175084175084,0.1006734006734006,0.292087542087542,0.0635374415116665
