epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.4808080808080808,0.3116161616161616,0.5303030303030303,0.6008417508417508,0.37138047138047137,0.47003367003367,0.035840883073570674
9,0.4835016835016835,0.3269360269360269,0.5277777777777778,0.5959595959595959,0.3797979797979798,0.4698653198653199,0.0426573887943798
8,0.4740740740740741,0.3178451178451178,0.5264309764309765,0.5915824915824915,0.3912457912457912,0.4572390572390572,0.0398834139161592
7,0.4777777777777778,0.3171717171717171,0.5244107744107744,0.584006734006734,0.3809764309764309,0.455050505050505,0.0461568054321286
6,0.4730639730639731,0.3217171717171717,0.5196969696969697,0.5734006734006734,0.3683501683501683,0.4542087542087542,0.0544306016055665
5,0.45,0.324074074074074,0.5126262626262627,0.557070707070707,0.3638047138047138,0.4321548821548822,0.0644368925735645
4,0.4262626262626263,0.3208754208754208,0.4902356902356902,0.534006734006734,0.3604377104377104,0.4143097643097643,0.0681216881790762
3,0.396969696969697,0.3026936026936027,0.4769360269360269,0.5111111111111111,0.3621212121212121,0.3818181818181818,0.072732787486662
2,0.3752525252525252,0.2962962962962963,0.4483164983164983,0.4663299663299663,0.3441077441077441,0.3498316498316498,0.0719418007397418
1,0.2939393939393939,0.2614478114478114,0.3781144781144781,0.3887205387205387,0.307070707070707,0.2823232323232323,0.0735745047273686
0,0.2747474747474747,0.1897306397306397,0.3585858585858585,0.1006734006734006,0.2715488215488215,0.3161616161616161,0.065089905306988
