epoch,KNN,MLP,NB,val MSE
29,0.2865319865319865,0.4031986531986532,0.29848484848484846,0.053801960793206365
27,0.27996632996633,0.4082491582491582,0.2976430976430976,0.0541987239613096
25,0.2764309764309764,0.4047138047138047,0.2978114478114478,0.0552112134984077
23,0.2767676767676768,0.4053872053872054,0.298989898989899,0.0565461857611607
21,0.2776094276094276,0.4013468013468013,0.2976430976430976,0.0576062990521241
19,0.2718855218855219,0.4082491582491582,0.2885521885521885,0.0598133940176896
17,0.2735690235690236,0.4084175084175084,0.2893939393939393,0.0618268117229214
15,0.2771043771043771,0.3978114478114478,0.289057239057239,0.0631081535353542
13,0.2767676767676768,0.3971380471380471,0.2745791245791246,0.0635417500580288
11,0.2765993265993266,0.3777777777777777,0.2702020202020202,0.063682415252998
9,0.2589225589225589,0.3410774410774411,0.2587542087542087,0.0636886837453867
7,0.2626262626262626,0.2917508417508417,0.2398989898989899,0.0636636847712853
5,0.2493265993265993,0.232996632996633,0.2375420875420875,0.0636336783122529
3,0.2641414141414141,0.221043771043771,0.2255892255892256,0.063607374566804
1,0.286026936026936,0.176094276094276,0.2569023569023569,0.0636234152896683
0,0.265993265993266,0.1673400673400673,0.2835016835016835,0.0636649293093867
