epoch,KNN,MLP,NB,val MSE
29,0.43754208754208757,0.5072390572390573,0.3720538720538721,0.061618177058112344
27,0.4286195286195286,0.4930976430976431,0.3705387205387205,0.06324795931313
25,0.428956228956229,0.4986531986531986,0.3725589225589225,0.0635071503226752
23,0.4239057239057239,0.4971380471380471,0.3661616161616162,0.0655188040070063
21,0.4043771043771044,0.4917508417508417,0.3565656565656566,0.066660799172113
19,0.4028619528619528,0.4745791245791246,0.3542087542087542,0.0678553234779178
17,0.3760942760942761,0.4531986531986532,0.3361952861952862,0.0690013418506771
15,0.3537037037037037,0.4186868686868686,0.3131313131313131,0.0715872896289317
13,0.3286195286195286,0.3816498316498316,0.2057239057239057,0.0722134822506464
11,0.2937710437710438,0.3424242424242424,0.1936026936026936,0.0759896933635428
9,0.2604377104377104,0.2956228956228956,0.1126262626262626,0.074962085844092
7,0.241077441077441,0.269023569023569,0.1144781144781144,0.075451180041101
5,0.1622895622895623,0.167003367003367,0.1079124579124579,0.0752708015841023
3,0.1622895622895623,0.1646464646464646,0.1121212121212121,0.0742932940712512
1,0.1636363636363636,0.1696969696969697,0.1132996632996633,0.073446539874134
0,0.265993265993266,0.1673400673400673,0.2835016835016835,0.0636649293226204
