epoch,KNN,MLP,NB,val MSE
29,0.2962962962962963,0.45067340067340067,0.3528619528619529,0.00404999015412788
27,0.2951178451178451,0.4452861952861953,0.351010101010101,0.0041872433586902
25,0.2951178451178451,0.4420875420875421,0.3505050505050505,0.0043284660986861
23,0.2968013468013468,0.4441077441077441,0.3491582491582491,0.004453009152024
21,0.2983164983164983,0.4444444444444444,0.346969696969697,0.0046770180448175
19,0.2998316498316498,0.4515151515151515,0.3508417508417508,0.0049888816348659
17,0.3005050505050505,0.45,0.346969696969697,0.0051817012178259
15,0.3052188552188552,0.4456228956228956,0.3451178451178451,0.0057287990747492
13,0.3062289562289562,0.45,0.3410774410774411,0.006161934990588
11,0.3185185185185185,0.4459595959595959,0.336026936026936,0.0072776762666064
9,0.3368686868686869,0.4469696969696969,0.331986531986532,0.0078953733315383
7,0.3245791245791246,0.4444444444444444,0.3260942760942761,0.0084908182714564
5,0.3272727272727272,0.4468013468013468,0.3228956228956229,0.0095063131054463
3,0.3269360269360269,0.4515151515151515,0.3146464646464647,0.0111986799397196
1,0.2998316498316498,0.3893939393939394,0.2749158249158249,0.0204236363234464
0,0.2883838383838384,0.1929292929292929,0.3085858585858586,0.0646381899582132
