epoch,KNN,MLP,val MSE,Tree,RF,ADA-Boost,NB
2,0.2015151515151515,0.3929292929292929,0.010331063889476536,,,,
1,0.2136363636363636,0.3984848484848485,0.0124323598504542,,,,
0,0.2993265993265993,0.3101010101010101,0.0639981389720634,,,,
10,0.2131313131313131,0.42003367003367,0.0044304364667725,0.2144781144781145,0.3725589225589225,0.2722222222222222,0.3639730639730639
9,0.2175084175084175,0.418013468013468,0.0048238385442253,0.2121212121212121,0.3752525252525252,0.2740740740740741,0.369023569023569
8,0.2138047138047138,0.4203703703703704,0.005258728313751,0.2181818181818181,0.3912457912457912,0.2877104377104377,0.3675084175084175
7,0.2097643097643097,0.4262626262626263,0.0061176820942672,0.223063973063973,0.3845117845117845,0.2851851851851852,0.3584175084175084
6,0.2026936026936027,0.4021885521885522,0.0082405704680704,0.2087542087542087,0.3658249158249158,0.272053872053872,0.3531986531986532
5,0.1944444444444444,0.3796296296296296,0.0089770097477397,0.1976430976430976,0.3484848484848485,0.2671717171717171,0.3272727272727272
4,0.1937710437710437,0.3806397306397306,0.0092474430763091,0.1898989898989899,0.3324915824915825,0.2592592592592592,0.321043771043771
3,0.1947811447811447,0.388047138047138,0.00971516383213,0.1872053872053872,0.3417508417508417,0.2537037037037037,0.3131313131313131
2,0.1974747474747474,0.3976430976430976,0.010535650715384,0.1892255892255892,0.3294612794612794,0.2572390572390572,0.3146464646464647
1,0.2008417508417508,0.4,0.0120053109853506,0.1909090909090909,0.3388888888888889,0.2626262626262626,0.3085858585858586
0,0.269023569023569,0.2974747474747474,0.0644161882305759,0.2154882154882154,0.3828282828282828,0.2907407407407407,0.304040404040404
