epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.26936026936026936,0.24848484848484848,0.3606060606060606,0.3292929292929293,0.2988215488215488,0.2335016835016835,0.07118526131549906
9,0.2607744107744107,0.2412457912457912,0.3466329966329966,0.3202020202020202,0.2902356902356902,0.2121212121212121,0.0709450255821377
8,0.2451178451178451,0.2345117845117845,0.3353535353535353,0.3112794612794612,0.2752525252525252,0.2136363636363636,0.0705249076361766
7,0.2398989898989899,0.2279461279461279,0.3291245791245791,0.2843434343434343,0.2715488215488215,0.2035353535353535,0.071233813387886
6,0.2382154882154882,0.2114478114478114,0.3249158249158249,0.2861952861952861,0.2580808080808081,0.1969696969696969,0.070182460715885
5,0.2436026936026936,0.2228956228956229,0.3186868686868687,0.2803030303030303,0.2493265993265993,0.2015151515151515,0.0697837215360274
4,0.2289562289562289,0.2011784511784511,0.2925925925925925,0.2592592592592592,0.2420875420875421,0.1855218855218855,0.0702481711710113
3,0.1919191919191919,0.1895622895622895,0.2587542087542087,0.2227272727272727,0.2156565656565656,0.1695286195286195,0.0695791455915406
2,0.1604377104377104,0.158080808080808,0.2218855218855218,0.1319865319865319,0.1947811447811447,0.117003367003367,0.0684075615770757
1,0.1786195286195286,0.1641414141414141,0.2387205387205387,0.1648148148148148,0.1961279461279461,0.1609427609427609,0.0640152282351181
0,0.2053872053872054,0.1737373737373737,0.2744107744107744,0.1067340067340067,0.2316498316498316,0.2284511784511784,0.0629861702874541
