epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.22457912457912457,0.19528619528619529,0.3430976430976431,0.41632996632996633,0.26245791245791245,0.3557239057239057,0.007846818614062948
9,0.2277777777777777,0.1924242424242424,0.3444444444444444,0.4168350168350168,0.2627946127946128,0.3594276094276094,0.0081320711036029
8,0.2267676767676767,0.1981481481481481,0.3498316498316498,0.4196969696969697,0.2639730639730639,0.354040404040404,0.0085262706367626
7,0.2252525252525252,0.1986531986531986,0.3545454545454545,0.4104377104377104,0.2678451178451178,0.3449494949494949,0.0100028643220808
6,0.2363636363636363,0.1973063973063973,0.3375420875420875,0.4131313131313131,0.2632996632996633,0.3276094276094276,0.0111819431516565
5,0.2565656565656565,0.1947811447811447,0.3419191919191919,0.4107744107744108,0.2702020202020202,0.3188552188552188,0.0118910702471464
4,0.2702020202020202,0.1988215488215488,0.3436026936026936,0.4104377104377104,0.2686868686868687,0.3148148148148148,0.012059387962663
3,0.2863636363636364,0.2055555555555555,0.3461279461279461,0.4107744107744108,0.2683501683501683,0.318013468013468,0.0129658010743598
2,0.2882154882154882,0.1946127946127946,0.3437710437710438,0.4075757575757576,0.2609427609427609,0.3131313131313131,0.01580134438943
1,0.3052188552188552,0.201010101010101,0.3579124579124579,0.4132996632996633,0.2683501683501683,0.3146464646464647,0.0170937099694199
0,0.2739057239057239,0.2171717171717171,0.3567340067340067,0.1803030303030303,0.2654882154882155,0.2782828282828283,0.0648238948524845
