epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.22693602693602694,0.20185185185185187,0.35134680134680135,0.4121212121212121,0.2787878787878788,0.3392255892255892,0.011269096223898828
9,0.2343434343434343,0.2025252525252525,0.3483164983164983,0.4168350168350168,0.2722222222222222,0.3313131313131313,0.0119474785531445
8,0.2427609427609427,0.2038720538720538,0.3422558922558922,0.4215488215488215,0.2794612794612794,0.3259259259259259,0.0124054899750207
7,0.2511784511784511,0.2045454545454545,0.3425925925925926,0.414983164983165,0.2744107744107744,0.3249158249158249,0.0126710351586315
6,0.2584175084175084,0.206060606060606,0.3430976430976431,0.4131313131313131,0.2681818181818182,0.3208754208754208,0.0130744132909718
5,0.2718855218855219,0.1932659932659932,0.3427609427609427,0.413973063973064,0.2777777777777778,0.3164983164983165,0.0134863578855038
4,0.2808080808080808,0.2080808080808081,0.3452861952861953,0.4202020202020202,0.2698653198653198,0.3156565656565656,0.0143555019490857
3,0.2801346801346801,0.204040404040404,0.347979797979798,0.4131313131313131,0.2723905723905724,0.3138047138047138,0.0152987096918545
2,0.3026936026936027,0.2008417508417508,0.3570707070707071,0.4176767676767677,0.2765993265993266,0.3101010101010101,0.0171879352042269
1,0.2845117845117845,0.2084175084175084,0.3552188552188552,0.4158249158249158,0.2787878787878788,0.3132996632996633,0.0207600322176518
0,0.257070707070707,0.1961279461279461,0.3525252525252525,0.1006734006734006,0.2715488215488215,0.2745791245791246,0.0640188809054147
