epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.2873737373737374,0.2239057239057239,0.37053872053872056,0.3506734006734007,0.2863636363636364,0.2781144781144781,0.024783916860739462
9,0.2821548821548821,0.2239057239057239,0.368013468013468,0.3417508417508417,0.2818181818181818,0.27996632996633,0.0260560643721907
8,0.2801346801346801,0.2178451178451178,0.3705387205387205,0.3402356902356902,0.2728956228956229,0.2797979797979798,0.0270368727701542
7,0.2744107744107744,0.2284511784511784,0.3624579124579125,0.3457912457912458,0.2765993265993266,0.2777777777777778,0.0284236936265897
6,0.2745791245791246,0.2277777777777777,0.3616161616161616,0.339057239057239,0.2836700336700337,0.2691919191919192,0.0303018541831265
5,0.2639730639730639,0.2161616161616161,0.3486531986531986,0.3372053872053872,0.2764309764309764,0.2590909090909091,0.0325556035893001
4,0.2572390572390572,0.2267676767676767,0.3471380471380471,0.3292929292929293,0.2681818181818182,0.2547138047138047,0.034693679592008
3,0.2537037037037037,0.2154882154882154,0.3437710437710438,0.3245791245791246,0.2569023569023569,0.2488215488215488,0.0372817000046663
2,0.2338383838383838,0.2089225589225589,0.3107744107744107,0.3016835016835016,0.2531986531986532,0.2291245791245791,0.0422630152775911
1,0.201010101010101,0.189057239057239,0.27003367003367,0.2609427609427609,0.2469696969696969,0.2119528619528619,0.0507486819307821
0,0.2257575757575757,0.187037037037037,0.2904040404040404,0.1006734006734006,0.2574074074074074,0.2609427609427609,0.0632072515838629
