epoch,KNN,MLP,NB,val MSE
29,0.4265993265993266,0.5202020202020202,0.4079124579124579,0.022964311475810954
27,0.4368686868686868,0.5271043771043771,0.4097643097643098,0.0247290385903568
25,0.434006734006734,0.5134680134680135,0.4082491582491582,0.0255369998541119
23,0.4326599326599326,0.5148148148148148,0.406060606060606,0.0275526939135302
21,0.4306397306397306,0.5178451178451179,0.4003367003367003,0.0284238885889627
19,0.4195286195286195,0.4988215488215488,0.3968013468013468,0.0282665817910676
17,0.4178451178451178,0.4892255892255892,0.3843434343434343,0.0278462095162955
15,0.4082491582491582,0.4898989898989899,0.3855218855218855,0.0298238879013442
13,0.3966329966329966,0.4762626262626263,0.373063973063973,0.0340279745629477
11,0.3823232323232323,0.4668350168350168,0.3654882154882155,0.0328536928692571
9,0.3582491582491582,0.4358585858585858,0.3419191919191919,0.0361815123400298
7,0.2915824915824916,0.3631313131313131,0.2089225589225589,0.0568225611775425
5,0.1563973063973064,0.1792929292929292,0.102020202020202,0.0788009008971666
3,0.1338383838383838,0.1619528619528619,0.1025252525252525,0.086801511157787
1,0.1289562289562289,0.1006734006734006,0.104040404040404,0.0889455725969895
0,0.2691919191919192,0.1006734006734006,0.3121212121212121,0.0639250284560408
