epoch,KNN,MLP,NB,val MSE
29,0.19074074074074074,0.29393939393939394,0.28888888888888886,0.07357835410358003
27,0.1996632996632996,0.302020202020202,0.2962962962962963,0.0734959478766308
25,0.1979797979797979,0.2954545454545454,0.2979797979797979,0.0725680351733737
23,0.2011784511784511,0.2957912457912457,0.3015151515151515,0.0733250282294585
21,0.1991582491582491,0.2994949494949495,0.2968013468013468,0.0721474619678239
19,0.1993265993265993,0.2976430976430976,0.2934343434343434,0.073006579933645
17,0.2045454545454545,0.3109427609427609,0.285016835016835,0.0736817960721667
15,0.2163299663299663,0.3168350168350168,0.2843434343434343,0.0748796381228347
13,0.2129629629629629,0.3234006734006734,0.281986531986532,0.0771148837308794
11,0.1973063973063973,0.3212121212121212,0.2749158249158249,0.0793160652579676
9,0.1942760942760942,0.3166666666666666,0.2663299663299663,0.0831424371466755
7,0.1801346801346801,0.3156565656565656,0.253030303030303,0.08360970269088
5,0.1782828282828283,0.296969696969697,0.2479797979797979,0.0853630122770001
3,0.1644781144781144,0.2567340067340067,0.2175084175084175,0.0837306047311684
1,0.2563973063973064,0.1006734006734006,0.2572390572390572,0.0635762959586367
0,0.27003367003367,0.1404040404040404,0.2723905723905724,0.063559137959675
