epoch,KNN,Tree,RF,MLP,ADA-Boost,NB,val MSE
10,0.21498316498316497,0.20942760942760943,0.30084175084175085,0.2737373737373737,0.2542087542087542,0.234006734006734,0.049739153092961966
9,0.2153198653198653,0.2043771043771043,0.3058922558922559,0.273063973063973,0.2599326599326599,0.2318181818181818,0.0531812790933447
8,0.2284511784511784,0.2079124579124579,0.3171717171717171,0.2695286195286195,0.2481481481481481,0.2287878787878788,0.0555492155055381
7,0.2247474747474747,0.2171717171717171,0.3181818181818182,0.2429292929292929,0.2599326599326599,0.2326599326599326,0.0587853463383169
6,0.2274410774410774,0.1919191919191919,0.3227272727272727,0.2301346801346801,0.2604377104377104,0.2356902356902357,0.0617324178029334
5,0.2195286195286195,0.1951178451178451,0.3090909090909091,0.2139730639730639,0.2494949494949495,0.2196969696969697,0.0629353615427207
4,0.2264309764309764,0.1922558922558922,0.3151515151515151,0.2134680134680134,0.2454545454545454,0.2207070707070707,0.0636981227311105
3,0.2358585858585858,0.1956228956228956,0.314983164983165,0.169023569023569,0.2528619528619528,0.235016835016835,0.064298947866126
2,0.2468013468013468,0.1983164983164983,0.3244107744107744,0.1067340067340067,0.2515151515151515,0.2449494949494949,0.0647179462796418
1,0.2367003367003367,0.182996632996633,0.3153198653198653,0.1067340067340067,0.2491582491582491,0.2525252525252525,0.0649973466317458
0,0.2158249158249158,0.1717171717171717,0.281986531986532,0.1067340067340067,0.2264309764309764,0.2427609427609427,0.0652862983039492
