mode,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,n_bn_layers,probed
plain,0.6037037037037037,0.6117845117845118,0.642087542087542,0.6478114478114478,0.6858585858585858,0.6848484848484848,0.5696969696969697,0.5797979797979798,31,2026-09-11 17:36:54
adabn,0.6047138047138048,0.6101010101010101,0.6427609427609428,0.6444444444444445,0.6794612794612794,0.6909090909090909,0.5656565656565656,0.5744107744107744,31,2026-09-11 17:36:54
