epoch,KNN,KNN select,Linear,Linear select,MLP,MLP select,NB,NB select,val MSE,train loss,out std,probe secs
29,0.29797979797979796,0.30437710437710436,0.4676767676767677,0.468013468013468,0.4841750841750842,0.4794612794612795,0.36464646464646466,0.36902356902356903,0.004330318862800594,0.003992636159993708,0.23937699045737584,14.16
27,0.3023569023569024,0.3191919191919192,0.4666666666666667,0.47003367003367,0.4841750841750842,0.4828282828282828,0.3774410774410774,0.367003367003367,0.0040640098139557,0.0041845480327804,0.2391856276591618,16.12
25,0.2885521885521885,0.3023569023569024,0.4693602693602693,0.47003367003367,0.4727272727272727,0.4757575757575757,0.3626262626262626,0.3612794612794612,0.0042344165434911,0.0043189438870176,0.2388062837322553,16.91
23,0.301010101010101,0.3026936026936027,0.463973063973064,0.4602693602693603,0.476094276094276,0.4734006734006734,0.3494949494949494,0.3511784511784512,0.0045002614421733,0.0044952026490742,0.2384841309785842,18.67
21,0.296969696969697,0.2872053872053872,0.4525252525252525,0.4595959595959596,0.4828282828282828,0.4622895622895623,0.3777777777777777,0.3707070707070707,0.0047730432035894,0.0046684862378363,0.2382645212014516,18.12
19,0.3033670033670033,0.2898989898989899,0.4468013468013468,0.4474747474747474,0.4821548821548821,0.4602693602693603,0.339057239057239,0.3528619528619529,0.0048337527178558,0.0049814640404656,0.2377399888634681,13.91
17,0.2993265993265993,0.2973063973063973,0.4444444444444444,0.463973063973064,0.4713804713804714,0.472053872053872,0.3521885521885521,0.3575757575757576,0.0048692450754437,0.0052027927543967,0.2374655541380246,14.37
15,0.3013468013468013,0.2983164983164983,0.4481481481481481,0.4542087542087542,0.4774410774410774,0.4696969696969697,0.3606060606060606,0.3602693602693603,0.0052524845522777,0.0053811571119974,0.236948160568873,11.26
13,0.3161616161616161,0.3114478114478115,0.4525252525252525,0.4606060606060606,0.472053872053872,0.4740740740740741,0.3612794612794612,0.3589225589225589,0.0054481456719577,0.0056559327617287,0.2364919690688451,15.72
11,0.3127946127946128,0.301010101010101,0.4383838383838384,0.4595959595959596,0.4703703703703704,0.4632996632996633,0.3525252525252525,0.3538720538720539,0.0056779725893961,0.0061455635937551,0.2355343440969785,18.88
9,0.3151515151515151,0.3265993265993266,0.4471380471380471,0.4474747474747474,0.4693602693602693,0.468013468013468,0.3434343434343434,0.3430976430976431,0.0065506390919561,0.0070000150389969,0.2339679846962293,17.13
7,0.3269360269360269,0.3407407407407407,0.4276094276094276,0.4468013468013468,0.4771043771043771,0.4757575757575757,0.3326599326599326,0.3383838383838384,0.0073512963153302,0.0078553454180558,0.23209970921278,16.42
5,0.3457912457912458,0.3484848484848485,0.432996632996633,0.4427609427609427,0.4683501683501683,0.4777777777777778,0.336026936026936,0.3548821548821549,0.0081816034451074,0.0089004434595505,0.2301326331496238,17.08
3,0.3616161616161616,0.3589225589225589,0.4333333333333333,0.4326599326599326,0.4629629629629629,0.4781144781144781,0.3505050505050505,0.3501683501683502,0.0103525000444049,0.0109322032655278,0.2257419120868047,14.86
1,0.3622895622895623,0.3622895622895623,0.405050505050505,0.4097643097643098,0.4478114478114478,0.4464646464646464,0.3111111111111111,0.3215488215488215,0.0154391895817529,0.0224489496226112,0.1970930478572845,13.36
0,0.2979797979797979,0.2956228956228956,0.4053872053872054,0.4026936026936027,0.441077441077441,0.4424242424242424,0.2808080808080808,0.2845117845117845,0.0634872805902843,,,12.4
