epoch,KNN,MLP,NB,val MSE
29,0.17306397306397306,0.21481481481481482,0.2382154882154882,0.06883530292269603
27,0.1715488215488215,0.2107744107744107,0.235016835016835,0.0691582545188138
25,0.173063973063973,0.217003367003367,0.2427609427609427,0.0692468491212512
23,0.1745791245791245,0.2314814814814814,0.2476430976430976,0.0697843606714457
21,0.185016835016835,0.2491582491582491,0.254040404040404,0.0697823715715488
19,0.2018518518518518,0.2713804713804714,0.2629629629629629,0.0716816731604547
17,0.2196969696969697,0.2929292929292929,0.2681818181818182,0.073762291582503
15,0.2276094276094276,0.2939393939393939,0.267003367003367,0.0742758980771893
13,0.2053872053872054,0.2787878787878788,0.2607744107744107,0.0740245938711331
11,0.1794612794612794,0.2767676767676768,0.2542087542087542,0.0717194763080053
9,0.1777777777777777,0.2779461279461279,0.238047138047138,0.0720310336504905
7,0.1703703703703703,0.2653198653198653,0.232996632996633,0.0740738332695054
5,0.1584175084175084,0.2528619528619528,0.2042087542087542,0.0762433518802823
3,0.2287878787878788,0.1006734006734006,0.2382154882154882,0.0636607200158743
1,0.2542087542087542,0.1006734006734006,0.2784511784511784,0.0636282674240388
0,0.265993265993266,0.1673400673400673,0.2835016835016835,0.0636649293093867
