epoch,KNN,MLP,NB,val MSE
29,0.40235690235690236,0.4740740740740741,0.3429292929292929,0.0696305234984331
27,0.3991582491582491,0.4831649831649832,0.3478114478114478,0.0694860131421902
25,0.401010101010101,0.4752525252525252,0.3407407407407407,0.0701521485713087
23,0.3877104377104377,0.463973063973064,0.3356902356902357,0.0694010955733156
21,0.386026936026936,0.4765993265993266,0.3331649831649831,0.0701545020218005
19,0.387037037037037,0.4713804713804714,0.3385521885521885,0.0707196563773426
17,0.3752525252525252,0.4537037037037037,0.324074074074074,0.0708622251096351
15,0.3755892255892256,0.4442760942760942,0.3207070707070707,0.0703526775933286
13,0.3643097643097643,0.4274410774410774,0.2823232323232323,0.0709607381287624
11,0.3412457912457912,0.39006734006734,0.2412457912457912,0.0712439640827119
9,0.3181818181818182,0.3664983164983165,0.1845117845117845,0.0705246799302884
7,0.2936026936026936,0.3358585858585858,0.1562289562289562,0.0716199243960647
5,0.2388888888888889,0.267003367003367,0.1481481481481481,0.0707372417855432
3,0.1521885521885521,0.1516835016835016,0.1129629629629629,0.0704490910242865
1,0.1528619528619528,0.1619528619528619,0.1057239057239057,0.0708410494611805
0,0.267003367003367,0.1257575757575757,0.2663299663299663,0.0646166326957845
